# {'Language': 'Norwegian', 'Region': 'PFC', 'Participant': 'PFC007', 'Session': 'S1', 'Block': 'B1', 'date': '2022_Mar_02_1503', 'expName': 'FTRSGT_rTMS', 'frameRate': 59.95149918889401}
region,subj,block,trial,proberound,probetrial,time,stimulus,response
PFC,PFC007,B1,1,1,1,0.0003004996,stimulus,
PFC,PFC007,B1,1,1,1,0.2265254995,tap,rctrl
PFC,PFC007,B1,2,1,2,0.7500769999,stimulus,
PFC,PFC007,B1,2,1,2,0.8184040003,tap,rctrl
PFC,PFC007,B1,2,1,2,1.4903617995,tap,rctrl
PFC,PFC007,B1,3,1,3,1.5000916002,stimulus,
PFC,PFC007,B1,4,1,4,2.2501117000,stimulus,
PFC,PFC007,B1,4,1,4,2.2682782002,tap,rctrl
PFC,PFC007,B1,4,1,4,2.9624771997,tap,lctrl
PFC,PFC007,B1,5,1,5,3.0001409994,stimulus,
PFC,PFC007,B1,5,1,5,3.7142760996,tap,lctrl
PFC,PFC007,B1,6,1,6,3.7501323000,stimulus,
PFC,PFC007,B1,6,1,6,4.4182759002,tap,lctrl
PFC,PFC007,B1,7,1,7,4.5001427000,stimulus,
PFC,PFC007,B1,7,1,7,5.1382732997,tap,lctrl
PFC,PFC007,B1,8,1,8,5.2501556994,stimulus,
PFC,PFC007,B1,8,1,8,5.8742893999,tap,rctrl
PFC,PFC007,B1,9,1,9,6.0001724996,stimulus,
PFC,PFC007,B1,9,1,9,6.6263363995,tap,rctrl
PFC,PFC007,B1,10,1,10,6.7501828000,stimulus,
PFC,PFC007,B1,10,1,10,7.3622792000,tap,rctrl
PFC,PFC007,B1,11,1,11,7.5002017999,stimulus,
PFC,PFC007,B1,11,1,11,8.1942675998,tap,lctrl
PFC,PFC007,B1,12,1,12,8.2502065999,stimulus,
PFC,PFC007,B1,12,1,12,8.8983455999,tap,rctrl
PFC,PFC007,B1,13,1,13,9.0002213996,stimulus,
PFC,PFC007,B1,13,1,13,9.6983597996,tap,lctrl
PFC,PFC007,B1,14,1,14,9.7502418002,stimulus,
PFC,PFC007,B1,14,1,14,10.4023393998,tap,lctrl
PFC,PFC007,B1,15,1,15,10.5002522999,stimulus,
PFC,PFC007,B1,15,1,15,11.1063021999,tap,rctrl
PFC,PFC007,B1,16,1,16,11.2504473003,stimulus,
PFC,PFC007,B1,16,1,16,11.8742701001,tap,lctrl
PFC,PFC007,B1,17,1,17,12.0004652999,stimulus,
PFC,PFC007,B1,17,1,17,12.5623784000,tap,rctrl
PFC,PFC007,B1,18,1,18,12.7504695999,stimulus,
PFC,PFC007,B1,18,1,18,13.2822735002,tap,rctrl
PFC,PFC007,B1,19,1,19,13.5004789000,stimulus,
PFC,PFC007,B1,19,1,19,14.0822916999,tap,lctrl
PFC,PFC007,B1,20,1,20,14.2504906002,stimulus,
PFC,PFC007,B1,20,1,20,14.8823446995,tap,lctrl
PFC,PFC007,B1,21,1,21,15.0005045002,stimulus,
PFC,PFC007,B1,21,1,21,15.6022913996,tap,rctrl
PFC,PFC007,B1,22,1,22,15.7505272003,stimulus,
PFC,PFC007,B1,22,1,22,16.3702782998,tap,lctrl
PFC,PFC007,B1,23,1,23,16.5005697999,stimulus,
PFC,PFC007,B1,23,1,23,17.1383515000,tap,lctrl
PFC,PFC007,B1,24,1,24,17.2505724998,stimulus,
PFC,PFC007,B1,24,1,24,17.8903489001,tap,lctrl
PFC,PFC007,B1,25,1,25,18.0005786000,stimulus,
PFC,PFC007,B1,25,1,25,18.6583407996,tap,rctrl
PFC,PFC007,B1,26,1,26,18.7505884999,stimulus,
PFC,PFC007,B1,26,1,26,19.3782668998,tap,rctrl
PFC,PFC007,B1,27,1,27,19.5006007999,stimulus,
PFC,PFC007,B1,27,1,27,20.1142945997,tap,lctrl
PFC,PFC007,B1,28,1,28,20.2506146999,stimulus,
PFC,PFC007,B1,28,1,28,20.8342599003,tap,rctrl
PFC,PFC007,B1,29,1,29,21.0006317003,stimulus,
PFC,PFC007,B1,29,1,29,21.5703107994,tap,lctrl
PFC,PFC007,B1,30,1,30,21.7506422000,stimulus,
PFC,PFC007,B1,30,1,30,22.3382679000,tap,rctrl
PFC,PFC007,B1,31,1,31,22.5006564995,stimulus,
PFC,PFC007,B1,31,1,31,23.0742875002,tap,rctrl
PFC,PFC007,B1,32,1,32,23.2506710002,stimulus,
PFC,PFC007,B1,32,1,32,23.8584616994,tap,rctrl
PFC,PFC007,B1,33,1,33,24.0006909994,stimulus,
PFC,PFC007,B1,33,1,33,24.5623127995,tap,rctrl
PFC,PFC007,B1,34,1,34,24.7507007001,stimulus,
PFC,PFC007,B1,34,1,34,25.2822880000,tap,rctrl
PFC,PFC007,B1,35,1,35,25.5007098000,stimulus,
PFC,PFC007,B1,35,1,35,25.9862720994,tap,lctrl
PFC,PFC007,B1,36,1,36,26.2507250998,stimulus,
PFC,PFC007,B1,36,1,36,26.7223346001,tap,lctrl
PFC,PFC007,B1,37,1,37,27.0007389998,stimulus,
PFC,PFC007,B1,37,1,37,27.4742756002,tap,rctrl
PFC,PFC007,B1,38,1,38,27.7507464997,stimulus,
PFC,PFC007,B1,38,1,38,28.2262682002,tap,rctrl
PFC,PFC007,B1,39,1,39,28.5007592002,stimulus,
PFC,PFC007,B1,39,1,39,28.9302647999,tap,rctrl
PFC,PFC007,B1,40,1,40,29.2507758001,stimulus,
PFC,PFC007,B1,40,1,40,29.9383042995,tap,rctrl
PFC,PFC007,B1,41,1,41,30.0007921001,stimulus,
PFC,PFC007,B1,41,1,41,30.7383931996,tap,lctrl
PFC,PFC007,B1,42,1,42,30.7508220999,stimulus,
PFC,PFC007,B1,43,1,43,31.5008210000,stimulus,
PFC,PFC007,B1,43,1,43,31.5062918998,tap,lctrl
PFC,PFC007,B1,43,1,43,32.2423190996,tap,rctrl
PFC,PFC007,B1,44,1,44,32.2508343002,stimulus,
PFC,PFC007,B1,44,1,44,32.9622587003,tap,rctrl
PFC,PFC007,B1,45,1,45,33.0008466002,stimulus,
PFC,PFC007,B1,45,1,45,33.6663285000,tap,rctrl
PFC,PFC007,B1,46,1,46,33.7508552996,stimulus,
PFC,PFC007,B1,46,1,46,34.4183037998,tap,lctrl
PFC,PFC007,B1,47,1,47,34.5008707996,stimulus,
PFC,PFC007,B1,47,1,47,35.1703241002,tap,rctrl
PFC,PFC007,B1,48,1,48,35.2508956995,stimulus,
PFC,PFC007,B1,48,1,48,35.9703655997,tap,lctrl
PFC,PFC007,B1,49,1,49,36.0009087995,stimulus,
PFC,PFC007,B1,49,1,49,36.7063587001,tap,rctrl
PFC,PFC007,B1,50,1,50,36.7509166002,stimulus,
PFC,PFC007,B1,51,1,51,37.5009399997,stimulus,
PFC,PFC007,B1,51,1,51,37.7143158000,tap,lctrl
PFC,PFC007,B1,52,1,52,38.2509487998,stimulus,
PFC,PFC007,B1,52,1,52,38.2902983995,tap,rctrl
PFC,PFC007,B1,52,1,52,38.9144171998,tap,lctrl
PFC,PFC007,B1,53,1,53,39.0009640995,stimulus,
PFC,PFC007,B1,53,1,53,39.6343927998,tap,lctrl
PFC,PFC007,B1,54,1,54,39.7509779995,stimulus,
PFC,PFC007,B1,54,1,54,40.4022821002,tap,rctrl
PFC,PFC007,B1,55,1,54,45.9526108997,probe1,1
PFC,PFC007,B1,55,1,54,51.4069205998,probe2,1
PFC,PFC007,B1,55,1,54,59.2135977997,probe3,2
PFC,PFC007,B1,56,2,1,59.9811308999,stimulus,
PFC,PFC007,B1,56,2,1,59.9826406995,tap,rctrl
PFC,PFC007,B1,56,2,1,60.6743689999,tap,rctrl
PFC,PFC007,B1,57,2,2,60.7309532994,stimulus,
PFC,PFC007,B1,57,2,2,61.4264377002,tap,rctrl
PFC,PFC007,B1,58,2,3,61.4809563998,stimulus,
PFC,PFC007,B1,58,2,3,62.1463730996,tap,lctrl
PFC,PFC007,B1,59,2,4,62.2309679994,stimulus,
PFC,PFC007,B1,59,2,4,62.8662510999,tap,lctrl
PFC,PFC007,B1,60,2,5,62.9809794994,stimulus,
PFC,PFC007,B1,60,2,5,63.6183203002,tap,rctrl
PFC,PFC007,B1,61,2,6,63.7309967997,stimulus,
PFC,PFC007,B1,61,2,6,64.3543814998,tap,lctrl
PFC,PFC007,B1,62,2,7,64.4810087997,stimulus,
PFC,PFC007,B1,62,2,7,65.0904155998,tap,rctrl
PFC,PFC007,B1,63,2,8,65.2310194997,stimulus,
PFC,PFC007,B1,63,2,8,65.8582432000,tap,lctrl
PFC,PFC007,B1,64,2,9,65.9810274001,stimulus,
