# {'Language': 'Norwegian', 'Region': 'PFC', 'Participant': 'PFC009', 'Session': 'S2', 'Block': 'B1', 'date': '2023_Feb_14_1537', 'expName': 'FTRSGT_rTMS', 'frameRate': 59.94071833168876}
region,subj,block,trial,proberound,probetrial,time,stimulus,response
PFC,PFC009,B1,1,1,1,0.0001720004,stimulus,
PFC,PFC009,B1,1,1,1,0.2115381006,tap,rctrl
PFC,PFC009,B1,2,1,2,0.7501070006,stimulus,
PFC,PFC009,B1,2,1,2,0.8195372000,tap,rctrl
PFC,PFC009,B1,2,1,2,1.3795638001,tap,rctrl
PFC,PFC009,B1,3,1,3,1.5001158006,stimulus,
PFC,PFC009,B1,3,1,3,2.1635929001,tap,rctrl
PFC,PFC009,B1,4,1,4,2.2501272000,stimulus,
PFC,PFC009,B1,4,1,4,2.8675439004,tap,lctrl
PFC,PFC009,B1,5,1,5,3.0001448002,stimulus,
PFC,PFC009,B1,5,1,5,3.6515834006,tap,lctrl
PFC,PFC009,B1,6,1,6,3.7501482004,stimulus,
PFC,PFC009,B1,6,1,6,4.3555555008,tap,rctrl
PFC,PFC009,B1,7,1,7,4.5001646001,stimulus,
PFC,PFC009,B1,7,1,7,5.0595497005,tap,lctrl
PFC,PFC009,B1,8,1,8,5.2501869006,stimulus,
PFC,PFC009,B1,8,1,8,5.8276032005,tap,rctrl
PFC,PFC009,B1,9,1,9,6.0001921002,stimulus,
PFC,PFC009,B1,9,1,9,6.5795473000,tap,rctrl
PFC,PFC009,B1,10,1,10,6.7502013007,stimulus,
PFC,PFC009,B1,10,1,10,7.3315678006,tap,rctrl
PFC,PFC009,B1,11,1,11,7.5002248008,stimulus,
PFC,PFC009,B1,11,1,11,8.0675927000,tap,lctrl
PFC,PFC009,B1,12,1,12,8.2502410002,stimulus,
PFC,PFC009,B1,12,1,12,8.7715491001,tap,lctrl
PFC,PFC009,B1,13,1,13,9.0002529006,stimulus,
PFC,PFC009,B1,13,1,13,9.5076016001,tap,lctrl
PFC,PFC009,B1,14,1,14,9.7502660006,stimulus,
PFC,PFC009,B1,14,1,14,10.1635959009,tap,lctrl
PFC,PFC009,B1,15,1,15,10.5002861004,stimulus,
PFC,PFC009,B1,15,1,15,11.0115827005,tap,lctrl
PFC,PFC009,B1,16,1,16,11.2502916008,stimulus,
PFC,PFC009,B1,16,1,16,11.7955609001,tap,rctrl
PFC,PFC009,B1,17,1,17,12.0003259005,stimulus,
PFC,PFC009,B1,17,1,17,12.4995360002,tap,rctrl
PFC,PFC009,B1,18,1,18,12.7503438005,stimulus,
PFC,PFC009,B1,18,1,18,13.1715333005,tap,rctrl
PFC,PFC009,B1,19,1,19,13.5003593005,stimulus,
PFC,PFC009,B1,19,1,19,13.9715541005,tap,rctrl
PFC,PFC009,B1,20,1,20,14.2503697006,stimulus,
PFC,PFC009,B1,20,1,20,14.7076131003,tap,rctrl
PFC,PFC009,B1,21,1,21,15.0003952002,stimulus,
PFC,PFC009,B1,21,1,21,15.3795650005,tap,lctrl
PFC,PFC009,B1,22,1,22,15.7504085004,stimulus,
PFC,PFC009,B1,22,1,22,16.1475581005,tap,rctrl
PFC,PFC009,B1,23,1,23,16.5004176004,stimulus,
PFC,PFC009,B1,23,1,23,16.8675563000,tap,lctrl
PFC,PFC009,B1,24,1,24,17.2504436001,stimulus,
PFC,PFC009,B1,24,1,24,17.6035341006,tap,rctrl
PFC,PFC009,B1,25,1,25,18.0004550004,stimulus,
PFC,PFC009,B1,25,1,25,18.4355337005,tap,lctrl
PFC,PFC009,B1,26,1,26,18.7504674001,stimulus,
PFC,PFC009,B1,26,1,26,19.1235571001,tap,rctrl
PFC,PFC009,B1,27,1,27,19.5005036006,stimulus,
PFC,PFC009,B1,27,1,27,19.9875585008,tap,rctrl
PFC,PFC009,B1,28,1,28,20.2504936000,stimulus,
PFC,PFC009,B1,28,1,28,20.7875932008,tap,rctrl
PFC,PFC009,B1,29,1,29,21.0005182000,stimulus,
PFC,PFC009,B1,29,1,29,21.5395874009,tap,rctrl
PFC,PFC009,B1,30,1,30,21.7505254000,stimulus,
PFC,PFC009,B1,30,1,30,22.3075336004,tap,rctrl
PFC,PFC009,B1,31,1,31,22.5005379003,stimulus,
PFC,PFC009,B1,31,1,31,23.0595310004,tap,rctrl
PFC,PFC009,B1,32,1,32,23.2505495008,stimulus,
PFC,PFC009,B1,32,1,32,23.6835040003,tap,rctrl
PFC,PFC009,B1,33,1,33,24.0005697003,stimulus,
PFC,PFC009,B1,33,1,33,24.4675280005,tap,rctrl
PFC,PFC009,B1,34,1,34,24.7505866000,stimulus,
PFC,PFC009,B1,34,1,34,25.2835046006,tap,lctrl
PFC,PFC009,B1,35,1,35,25.5005975002,stimulus,
PFC,PFC009,B1,35,1,35,26.0675287005,tap,lctrl
PFC,PFC009,B1,36,1,36,26.2506065005,stimulus,
PFC,PFC009,B1,36,1,36,26.8035915000,tap,lctrl
PFC,PFC009,B1,37,1,37,27.0006289007,stimulus,
PFC,PFC009,B1,37,1,37,27.4756143000,tap,rctrl
PFC,PFC009,B1,38,1,38,27.7506432002,stimulus,
PFC,PFC009,B1,38,1,38,28.3075469006,tap,rctrl
PFC,PFC009,B1,39,1,39,28.5006544003,stimulus,
PFC,PFC009,B1,39,1,39,29.1235488001,tap,lctrl
PFC,PFC009,B1,40,1,40,29.2506779004,stimulus,
PFC,PFC009,B1,40,1,40,29.8916509002,tap,lctrl
PFC,PFC009,B1,41,1,41,30.0006916001,stimulus,
PFC,PFC009,B1,42,1,42,30.7507089004,stimulus,
PFC,PFC009,B1,42,1,42,30.7555213002,tap,rctrl
PFC,PFC009,B1,42,1,42,31.4276090004,tap,lctrl
PFC,PFC009,B1,43,1,43,31.5007438008,stimulus,
PFC,PFC009,B1,43,1,43,32.1475158008,tap,rctrl
