# {'Language': 'Norwegian', 'Region': 'PFC', 'Participant': 'PFC010', 'Session': 'S2', 'Block': 'B1', 'date': '2022_Apr_07_1241', 'expName': 'FTRSGT_rTMS', 'frameRate': 59.93317449000119}
region,subj,block,trial,proberound,probetrial,time,stimulus,response
PFC,PFC010,B1,1,1,1,0.0003781000,stimulus,
PFC,PFC010,B1,1,1,1,0.2451140000,tap,rctrl
PFC,PFC010,B1,2,1,2,0.7501204000,stimulus,
PFC,PFC010,B1,2,1,2,0.8211292999,tap,rctrl
PFC,PFC010,B1,3,1,3,1.5001234000,stimulus,
PFC,PFC010,B1,3,1,3,1.5091073001,tap,lctrl
PFC,PFC010,B1,3,1,3,2.2291025000,tap,lctrl
PFC,PFC010,B1,4,1,4,2.2501335000,stimulus,
PFC,PFC010,B1,4,1,4,2.9331060001,tap,rctrl
PFC,PFC010,B1,5,1,5,3.0001466000,stimulus,
PFC,PFC010,B1,5,1,5,3.7011191000,tap,rctrl
PFC,PFC010,B1,6,1,6,3.7501575002,stimulus,
PFC,PFC010,B1,6,1,6,4.4370665001,tap,lctrl
PFC,PFC010,B1,7,1,7,4.5001745000,stimulus,
PFC,PFC010,B1,7,1,7,5.1890745000,tap,lctrl
PFC,PFC010,B1,8,1,8,5.2501942001,stimulus,
PFC,PFC010,B1,8,1,8,5.8771281000,tap,rctrl
PFC,PFC010,B1,9,1,9,6.0002012001,stimulus,
PFC,PFC010,B1,9,1,9,6.5971617000,tap,rctrl
PFC,PFC010,B1,10,1,10,6.7502150000,stimulus,
PFC,PFC010,B1,10,1,10,7.3172013001,tap,lctrl
PFC,PFC010,B1,11,1,11,7.5002361999,stimulus,
PFC,PFC010,B1,11,1,11,8.0851225001,tap,lctrl
PFC,PFC010,B1,12,1,12,8.2502442000,stimulus,
PFC,PFC010,B1,12,1,12,8.8211810000,tap,rctrl
PFC,PFC010,B1,13,1,13,9.0002588001,stimulus,
PFC,PFC010,B1,13,1,13,9.5731645999,tap,lctrl
PFC,PFC010,B1,14,1,14,9.7502731001,stimulus,
PFC,PFC010,B1,14,1,14,10.3411451001,tap,lctrl
PFC,PFC010,B1,15,1,15,10.5002915000,stimulus,
PFC,PFC010,B1,15,1,15,11.0130573001,tap,lctrl
PFC,PFC010,B1,16,1,16,11.2502926001,stimulus,
PFC,PFC010,B1,16,1,16,11.8130934001,tap,rctrl
PFC,PFC010,B1,17,1,17,12.0003063001,stimulus,
PFC,PFC010,B1,17,1,17,12.6450751000,tap,rctrl
PFC,PFC010,B1,18,1,18,12.7503223000,stimulus,
PFC,PFC010,B1,18,1,18,13.4130623001,tap,lctrl
PFC,PFC010,B1,19,1,19,13.5003320000,stimulus,
PFC,PFC010,B1,19,1,19,14.1812678999,tap,lctrl
PFC,PFC010,B1,20,1,20,14.2503680000,stimulus,
PFC,PFC010,B1,20,1,20,14.8850632000,tap,lctrl
PFC,PFC010,B1,21,1,21,15.0003691001,stimulus,
PFC,PFC010,B1,21,1,21,15.6531415000,tap,lctrl
PFC,PFC010,B1,22,1,22,15.7503851000,stimulus,
PFC,PFC010,B1,22,1,22,16.3731434999,tap,lctrl
PFC,PFC010,B1,23,1,23,16.5003954000,stimulus,
PFC,PFC010,B1,23,1,23,17.0291017001,tap,lctrl
PFC,PFC010,B1,24,1,24,17.2504095000,stimulus,
PFC,PFC010,B1,24,1,24,17.7491522999,tap,rctrl
PFC,PFC010,B1,25,1,25,18.0004261001,stimulus,
PFC,PFC010,B1,25,1,25,18.7092049001,tap,lctrl
PFC,PFC010,B1,26,1,26,18.7504395000,stimulus,
PFC,PFC010,B1,26,1,26,19.4612748001,tap,rctrl
PFC,PFC010,B1,27,1,27,19.5004618000,stimulus,
PFC,PFC010,B1,27,1,27,20.1491322999,tap,rctrl
PFC,PFC010,B1,28,1,28,20.2504668999,stimulus,
PFC,PFC010,B1,28,1,28,20.8851797001,tap,lctrl
PFC,PFC010,B1,29,1,29,21.0004809001,stimulus,
PFC,PFC010,B1,29,1,29,21.6051865001,tap,lctrl
PFC,PFC010,B1,30,1,30,21.7505066001,stimulus,
PFC,PFC010,B1,30,1,30,22.2771590999,tap,rctrl
PFC,PFC010,B1,31,1,31,22.5005278001,stimulus,
PFC,PFC010,B1,31,1,31,23.0450927000,tap,rctrl
PFC,PFC010,B1,32,1,32,23.2505207001,stimulus,
PFC,PFC010,B1,32,1,32,23.8291021001,tap,lctrl
PFC,PFC010,B1,33,1,33,24.0005315000,stimulus,
PFC,PFC010,B1,33,1,33,24.5330952001,tap,lctrl
PFC,PFC010,B1,34,1,34,24.7505490000,stimulus,
PFC,PFC010,B1,34,1,34,25.2210743001,tap,lctrl
PFC,PFC010,B1,35,1,35,25.5005670001,stimulus,
PFC,PFC010,B1,35,1,35,25.9891532001,tap,rctrl
PFC,PFC010,B1,36,1,36,26.2505670001,stimulus,
PFC,PFC010,B1,36,1,36,26.7091995999,tap,rctrl
PFC,PFC010,B1,37,1,37,27.0006061001,stimulus,
PFC,PFC010,B1,37,1,37,27.4612358001,tap,lctrl
PFC,PFC010,B1,38,1,38,27.7506089001,stimulus,
PFC,PFC010,B1,38,1,38,28.2131773001,tap,lctrl
PFC,PFC010,B1,39,1,39,28.5006157001,stimulus,
PFC,PFC010,B1,39,1,39,28.9490813001,tap,rctrl
PFC,PFC010,B1,40,1,40,29.2506225000,stimulus,
PFC,PFC010,B1,40,1,40,29.7650575000,tap,rctrl
PFC,PFC010,B1,41,1,41,30.0006375001,stimulus,
PFC,PFC010,B1,41,1,41,30.4850782000,tap,rctrl
PFC,PFC010,B1,42,1,42,30.7506533000,stimulus,
PFC,PFC010,B1,42,1,42,31.1570551000,tap,rctrl
PFC,PFC010,B1,43,1,43,31.5006620002,stimulus,
PFC,PFC010,B1,43,1,43,32.0211224000,tap,lctrl
PFC,PFC010,B1,44,1,44,32.2506730000,stimulus,
PFC,PFC010,B1,44,1,44,32.8210576000,tap,lctrl
PFC,PFC010,B1,45,1,45,33.0006939000,stimulus,
PFC,PFC010,B1,46,1,46,33.7507000000,stimulus,
PFC,PFC010,B1,46,1,46,33.7650588001,tap,lctrl
PFC,PFC010,B1,46,1,46,34.4210905000,tap,lctrl
PFC,PFC010,B1,47,1,47,34.5007207000,stimulus,
PFC,PFC010,B1,47,1,47,35.0290310001,tap,lctrl
PFC,PFC010,B1,48,1,48,35.2507346000,stimulus,
PFC,PFC010,B1,48,1,48,35.8931267001,tap,lctrl
PFC,PFC010,B1,49,1,49,36.0007466001,stimulus,
PFC,PFC010,B1,49,1,49,36.6290993001,tap,rctrl
PFC,PFC010,B1,50,1,50,36.7507611001,stimulus,
PFC,PFC010,B1,50,1,50,37.3650416001,tap,rctrl
PFC,PFC010,B1,51,1,51,37.5007687001,stimulus,
PFC,PFC010,B1,51,1,51,38.1170981000,tap,rctrl
PFC,PFC010,B1,52,1,52,38.2507813000,stimulus,
PFC,PFC010,B1,52,1,52,38.9330164001,tap,lctrl
PFC,PFC010,B1,53,1,53,39.0007928000,stimulus,
PFC,PFC010,B1,53,1,53,39.6531556000,tap,lctrl
PFC,PFC010,B1,54,1,54,39.7508089000,stimulus,
PFC,PFC010,B1,54,1,54,40.3571200001,tap,lctrl
PFC,PFC010,B1,55,1,55,40.5008304000,stimulus,
PFC,PFC010,B1,55,1,55,41.1410406001,tap,rctrl
PFC,PFC010,B1,56,1,56,41.2508342001,stimulus,
PFC,PFC010,B1,56,1,56,41.9731360001,tap,rctrl
PFC,PFC010,B1,57,1,57,42.0008461000,stimulus,
PFC,PFC010,B1,58,1,58,42.7508721000,stimulus,
PFC,PFC010,B1,58,1,58,42.7571332001,tap,rctrl
PFC,PFC010,B1,58,1,58,43.4610712000,tap,lctrl
PFC,PFC010,B1,59,1,59,43.5008680001,stimulus,
PFC,PFC010,B1,59,1,59,44.1491522000,tap,lctrl
PFC,PFC010,B1,60,1,60,44.2508994001,stimulus,
PFC,PFC010,B1,60,1,60,44.8690411001,tap,lctrl
PFC,PFC010,B1,61,1,61,45.0008995000,stimulus,
PFC,PFC010,B1,61,1,61,45.5891310000,tap,rctrl
PFC,PFC010,B1,62,1,62,45.7509195001,stimulus,
PFC,PFC010,B1,62,1,62,46.2770430001,tap,rctrl
PFC,PFC010,B1,63,1,63,46.5009297000,stimulus,
PFC,PFC010,B1,63,1,63,46.9491320001,tap,rctrl
