# {'Language': 'English', 'Region': 'PFC', 'Participant': 'PFC011', 'Session': 'S1', 'Block': 'B3', 'date': '2022_Apr_05_0907', 'expName': 'FTRSGT_rTMS', 'frameRate': 59.92861302281393}
region,subj,block,trial,proberound,probetrial,time,stimulus,response
PFC,PFC011,B3,1,1,1,0.0003202001,stimulus,
PFC,PFC011,B3,1,1,1,0.6312794001,tap,rctrl
PFC,PFC011,B3,2,1,2,0.7500987002,stimulus,
PFC,PFC011,B3,2,1,2,1.3511308001,tap,rctrl
PFC,PFC011,B3,3,1,3,1.5000918000,stimulus,
PFC,PFC011,B3,3,1,3,2.2151104000,tap,lctrl
PFC,PFC011,B3,4,1,4,2.2501083000,stimulus,
PFC,PFC011,B3,4,1,4,2.9671859001,tap,rctrl
PFC,PFC011,B3,5,1,5,3.0001199001,stimulus,
PFC,PFC011,B3,5,1,5,3.6711067001,tap,lctrl
PFC,PFC011,B3,6,1,6,3.7501354001,stimulus,
PFC,PFC011,B3,6,1,6,4.3591426001,tap,lctrl
PFC,PFC011,B3,7,1,7,4.5001395000,stimulus,
PFC,PFC011,B3,7,1,7,4.9831490000,tap,lctrl
PFC,PFC011,B3,8,1,8,5.2501554000,stimulus,
PFC,PFC011,B3,8,1,8,5.7991161002,tap,rctrl
PFC,PFC011,B3,9,1,9,6.0001800000,stimulus,
PFC,PFC011,B3,9,1,9,6.5191299000,tap,lctrl
PFC,PFC011,B3,10,1,10,6.7501894000,stimulus,
PFC,PFC011,B3,10,1,10,7.2232985001,tap,rctrl
PFC,PFC011,B3,11,1,11,7.5001985000,stimulus,
PFC,PFC011,B3,11,1,11,8.0071353000,tap,rctrl
PFC,PFC011,B3,12,1,12,8.2502206000,stimulus,
PFC,PFC011,B3,12,1,12,8.7910841000,tap,lctrl
PFC,PFC011,B3,13,1,13,9.0002268001,stimulus,
PFC,PFC011,B3,13,1,13,9.5431774000,tap,rctrl
PFC,PFC011,B3,14,1,14,9.7502338002,stimulus,
PFC,PFC011,B3,14,1,14,10.2311011001,tap,rctrl
PFC,PFC011,B3,15,1,15,10.5002466000,stimulus,
PFC,PFC011,B3,15,1,15,10.9992381001,tap,rctrl
PFC,PFC011,B3,16,1,16,11.2502782000,stimulus,
PFC,PFC011,B3,16,1,16,11.8311847001,tap,lctrl
PFC,PFC011,B3,17,1,17,12.0002787001,stimulus,
PFC,PFC011,B3,17,1,17,12.5350881000,tap,rctrl
PFC,PFC011,B3,18,1,18,12.7502880001,stimulus,
PFC,PFC011,B3,18,1,18,13.3351914000,tap,rctrl
PFC,PFC011,B3,19,1,19,13.5003028000,stimulus,
PFC,PFC011,B3,19,1,19,14.0712277000,tap,rctrl
PFC,PFC011,B3,20,1,20,14.2503158001,stimulus,
PFC,PFC011,B3,20,1,20,14.8711753001,tap,lctrl
PFC,PFC011,B3,21,1,21,15.0003246001,stimulus,
PFC,PFC011,B3,21,1,21,15.6072304000,tap,rctrl
PFC,PFC011,B3,22,1,22,15.7503446001,stimulus,
PFC,PFC011,B3,22,1,22,16.2952310001,tap,rctrl
PFC,PFC011,B3,23,1,23,16.5003500001,stimulus,
PFC,PFC011,B3,23,1,23,17.0631605000,tap,rctrl
PFC,PFC011,B3,24,1,24,17.2503618002,stimulus,
PFC,PFC011,B3,24,1,24,17.8311322001,tap,lctrl
PFC,PFC011,B3,25,1,25,18.0003736001,stimulus,
PFC,PFC011,B3,25,1,25,18.5511924000,tap,rctrl
PFC,PFC011,B3,26,1,26,18.7503856001,stimulus,
PFC,PFC011,B3,26,1,26,19.3351651002,tap,lctrl
PFC,PFC011,B3,27,1,27,19.5003924002,stimulus,
PFC,PFC011,B3,27,1,27,20.0871365000,tap,lctrl
PFC,PFC011,B3,28,1,28,20.2504032000,stimulus,
PFC,PFC011,B3,28,1,28,20.8391937001,tap,lctrl
PFC,PFC011,B3,29,1,29,21.0004228002,stimulus,
PFC,PFC011,B3,29,1,29,21.6072308000,tap,rctrl
PFC,PFC011,B3,30,1,30,21.7504340000,stimulus,
PFC,PFC011,B3,30,1,30,22.3590719001,tap,rctrl
