# {'Language': 'English', 'Region': 'PFC', 'Participant': 'PFC013', 'Session': 'S2', 'Block': 'B2', 'date': '2022_May_24_1101', 'expName': 'FTRSGT_rTMS', 'frameRate': 59.93881443890283}
region,subj,block,trial,proberound,probetrial,time,stimulus,response
PFC,PFC013,B2,1,1,1,0.0003148997,stimulus,
PFC,PFC013,B2,1,1,1,0.2654697997,tap,rctrl
PFC,PFC013,B2,2,1,2,0.7500833999,stimulus,
PFC,PFC013,B2,2,1,2,0.7934357999,tap,rctrl
PFC,PFC013,B2,2,1,2,1.4815111998,tap,rctrl
PFC,PFC013,B2,3,1,3,1.5001162998,stimulus,
PFC,PFC013,B2,3,1,3,2.1853641998,tap,lctrl
PFC,PFC013,B2,4,1,4,2.2501179995,stimulus,
PFC,PFC013,B2,4,1,4,2.9053761000,tap,lctrl
PFC,PFC013,B2,5,1,5,3.0001334995,stimulus,
PFC,PFC013,B2,5,1,5,3.7373617999,tap,rctrl
PFC,PFC013,B2,6,1,6,3.7501416001,stimulus,
PFC,PFC013,B2,7,1,7,4.5001507998,stimulus,
PFC,PFC013,B2,7,1,7,4.5053818002,tap,lctrl
PFC,PFC013,B2,7,1,7,5.2413518997,tap,lctrl
PFC,PFC013,B2,8,1,8,5.2501697000,stimulus,
PFC,PFC013,B2,8,1,8,5.9133487996,tap,lctrl
PFC,PFC013,B2,9,1,9,6.0001796996,stimulus,
PFC,PFC013,B2,9,1,9,6.6496361000,tap,lctrl
PFC,PFC013,B2,10,1,10,6.7502012998,stimulus,
PFC,PFC013,B2,10,1,10,7.3693522001,tap,rctrl
PFC,PFC013,B2,11,1,11,7.5002044998,stimulus,
PFC,PFC013,B2,11,1,11,8.1854549004,tap,rctrl
PFC,PFC013,B2,12,1,12,8.2502285996,stimulus,
PFC,PFC013,B2,12,1,12,8.8413640000,tap,lctrl
PFC,PFC013,B2,13,1,13,9.0002451995,stimulus,
PFC,PFC013,B2,13,1,13,9.6254198998,tap,rctrl
PFC,PFC013,B2,14,1,14,9.7502571996,stimulus,
PFC,PFC013,B2,14,1,14,10.4574411996,tap,rctrl
PFC,PFC013,B2,15,1,15,10.5002654996,stimulus,
PFC,PFC013,B2,15,1,15,11.1934121996,tap,rctrl
PFC,PFC013,B2,16,1,16,11.2502852995,stimulus,
PFC,PFC013,B2,16,1,16,11.9454428004,tap,lctrl
PFC,PFC013,B2,17,1,17,12.0002936004,stimulus,
PFC,PFC013,B2,17,1,17,12.7133895000,tap,lctrl
PFC,PFC013,B2,18,1,18,12.7503035003,stimulus,
PFC,PFC013,B2,19,1,19,13.5003188998,stimulus,
PFC,PFC013,B2,19,1,19,13.5934255002,tap,lctrl
PFC,PFC013,B2,19,1,19,14.2493393002,tap,rctrl
PFC,PFC013,B2,20,1,20,14.2503386997,stimulus,
PFC,PFC013,B2,20,1,20,14.9373891996,tap,lctrl
PFC,PFC013,B2,21,1,21,15.0003525000,stimulus,
PFC,PFC013,B2,21,1,21,15.6893293001,tap,lctrl
PFC,PFC013,B2,22,1,22,15.7503624000,stimulus,
PFC,PFC013,B2,22,1,22,16.4574888004,tap,lctrl
PFC,PFC013,B2,23,1,23,16.5003837002,stimulus,
PFC,PFC013,B2,23,1,23,17.1773453997,tap,rctrl
PFC,PFC013,B2,24,1,24,17.2503934000,stimulus,
PFC,PFC013,B2,24,1,24,17.9133521002,tap,rctrl
PFC,PFC013,B2,25,1,25,18.0004108995,stimulus,
PFC,PFC013,B2,25,1,25,18.7293373998,tap,rctrl
PFC,PFC013,B2,26,1,26,18.7504216004,stimulus,
PFC,PFC013,B2,26,1,26,19.4173411001,tap,lctrl
PFC,PFC013,B2,27,1,27,19.5004337998,stimulus,
PFC,PFC013,B2,27,1,27,20.1534241000,tap,lctrl
PFC,PFC013,B2,28,1,28,20.2504495000,stimulus,
PFC,PFC013,B2,28,1,28,20.8894574000,tap,rctrl
PFC,PFC013,B2,29,1,29,21.0004666001,stimulus,
PFC,PFC013,B2,29,1,29,21.6093373001,tap,lctrl
PFC,PFC013,B2,30,1,30,21.7504773000,stimulus,
PFC,PFC013,B2,31,1,31,22.5004888996,stimulus,
PFC,PFC013,B2,31,1,31,22.6333830003,tap,rctrl
PFC,PFC013,B2,32,1,32,23.2505193995,stimulus,
PFC,PFC013,B2,32,1,32,23.6094281999,tap,rctrl
PFC,PFC013,B2,33,1,33,24.0005253004,stimulus,
PFC,PFC013,B2,33,1,33,24.0896426998,tap,lctrl
PFC,PFC013,B2,33,1,33,24.7453739000,tap,rctrl
PFC,PFC013,B2,34,1,34,24.7505403999,stimulus,
PFC,PFC013,B2,34,1,34,25.4974181000,tap,rctrl
PFC,PFC013,B2,35,1,35,25.5005503995,stimulus,
PFC,PFC013,B2,35,1,35,26.2494484996,tap,rctrl
PFC,PFC013,B2,36,1,36,26.2505745003,stimulus,
PFC,PFC013,B2,36,1,36,26.9534385996,tap,lctrl
PFC,PFC013,B2,37,1,37,27.0005975002,stimulus,
PFC,PFC013,B2,37,1,37,27.6413353002,tap,rctrl
PFC,PFC013,B2,38,1,38,27.7506015003,stimulus,
PFC,PFC013,B2,38,1,38,28.3294171998,tap,rctrl
PFC,PFC013,B2,39,1,39,28.5006208997,stimulus,
PFC,PFC013,B2,39,1,39,29.1134115001,tap,rctrl
PFC,PFC013,B2,40,1,40,29.2506336002,stimulus,
PFC,PFC013,B2,40,1,40,29.8654130995,tap,rctrl
PFC,PFC013,B2,41,1,41,30.0006644996,stimulus,
PFC,PFC013,B2,41,1,41,30.7295292998,tap,rctrl
PFC,PFC013,B2,42,1,42,30.7506807996,stimulus,
PFC,PFC013,B2,43,1,43,31.5006924998,stimulus,
PFC,PFC013,B2,43,1,43,32.2013945999,tap,rctrl
PFC,PFC013,B2,44,1,44,32.2506924998,stimulus,
PFC,PFC013,B2,44,1,44,32.9054784002,tap,rctrl
PFC,PFC013,B2,45,1,45,33.0007181996,stimulus,
PFC,PFC013,B2,46,1,46,33.7507205000,stimulus,
PFC,PFC013,B2,47,1,47,34.5007306999,stimulus,
PFC,PFC013,B2,47,1,47,35.1934848996,tap,rctrl
PFC,PFC013,B2,48,1,48,35.2507512998,stimulus,
PFC,PFC013,B2,48,1,48,35.9774038997,tap,rctrl
PFC,PFC013,B2,49,1,49,36.0007662997,stimulus,
PFC,PFC013,B2,49,1,49,36.6813605996,tap,rctrl
PFC,PFC013,B2,50,1,50,36.7507948000,stimulus,
PFC,PFC013,B2,50,1,50,37.4173996001,tap,lctrl
PFC,PFC013,B2,51,1,51,37.5008019004,stimulus,
PFC,PFC013,B2,52,1,52,38.2508145999,stimulus,
PFC,PFC013,B2,52,1,52,38.3134150999,tap,lctrl
PFC,PFC013,B2,52,1,52,38.9373839004,tap,lctrl
PFC,PFC013,B2,53,1,53,39.0008317996,stimulus,
PFC,PFC013,B2,53,1,53,39.6733943997,tap,lctrl
PFC,PFC013,B2,54,1,54,39.7508373000,stimulus,
PFC,PFC013,B2,54,1,54,40.3934250996,tap,rctrl
PFC,PFC013,B2,55,1,55,40.5008480996,stimulus,
PFC,PFC013,B2,55,1,55,41.1293345001,tap,lctrl
PFC,PFC013,B2,56,1,56,41.2508616000,stimulus,
PFC,PFC013,B2,56,1,56,41.8654434998,tap,lctrl
PFC,PFC013,B2,57,1,57,42.0008843997,stimulus,
PFC,PFC013,B2,57,1,57,42.6173676997,tap,lctrl
PFC,PFC013,B2,58,1,58,42.7508977996,stimulus,
PFC,PFC013,B2,58,1,58,43.3695593001,tap,lctrl
PFC,PFC013,B2,59,1,59,43.5009159995,stimulus,
PFC,PFC013,B2,59,1,59,44.0893676998,tap,rctrl
PFC,PFC013,B2,60,1,60,44.2509273002,stimulus,
PFC,PFC013,B2,60,1,60,44.8574077003,tap,lctrl
PFC,PFC013,B2,61,1,61,45.0009487001,stimulus,
PFC,PFC013,B2,61,1,61,45.6735030999,tap,lctrl
PFC,PFC013,B2,62,1,62,45.7509728996,stimulus,
PFC,PFC013,B2,62,1,62,46.4094442995,tap,lctrl
