# {'Language': 'Norwegian', 'Region': 'PFC', 'Participant': 'PFC014', 'Session': 'S2', 'Block': 'B3', 'date': '2022_May_27_1303', 'expName': 'FTRSGT_rTMS', 'frameRate': 59.94556962243684}
region,subj,block,trial,proberound,probetrial,time,stimulus,response
PFC,PFC014,B3,1,1,1,0.0003442001,stimulus,
PFC,PFC014,B3,1,1,1,0.2971541993,tap,rctrl
PFC,PFC014,B3,1,1,1,0.7450107001,tap,lctrl
PFC,PFC014,B3,2,1,2,0.7500928994,stimulus,
PFC,PFC014,B3,2,1,2,1.4970458001,tap,rctrl
PFC,PFC014,B3,3,1,3,1.5000973996,stimulus,
PFC,PFC014,B3,3,1,3,2.2011482995,tap,rctrl
PFC,PFC014,B3,4,1,4,2.2501109000,stimulus,
PFC,PFC014,B3,4,1,4,2.9209954999,tap,rctrl
PFC,PFC014,B3,5,1,5,3.0001244992,stimulus,
PFC,PFC014,B3,5,1,5,3.6890933998,tap,lctrl
PFC,PFC014,B3,6,1,6,3.7501360001,stimulus,
PFC,PFC014,B3,6,1,6,4.4410803998,tap,lctrl
PFC,PFC014,B3,7,1,7,4.5001492994,stimulus,
PFC,PFC014,B3,7,1,7,5.1770591000,tap,rctrl
PFC,PFC014,B3,8,1,8,5.2501748996,stimulus,
PFC,PFC014,B3,8,1,8,5.9610797996,tap,rctrl
PFC,PFC014,B3,9,1,9,6.0001809997,stimulus,
PFC,PFC014,B3,10,1,10,6.7501973994,stimulus,
PFC,PFC014,B3,10,1,10,7.4651124999,tap,lctrl
PFC,PFC014,B3,11,1,11,7.5002063001,stimulus,
PFC,PFC014,B3,11,1,11,8.1370890001,tap,rctrl
PFC,PFC014,B3,12,1,12,8.2502240995,stimulus,
PFC,PFC014,B3,12,1,12,8.8890140997,tap,rctrl
PFC,PFC014,B3,13,1,13,9.0002430994,stimulus,
PFC,PFC014,B3,13,1,13,9.6570376996,tap,rctrl
PFC,PFC014,B3,14,1,14,9.7502612993,stimulus,
PFC,PFC014,B3,14,1,14,10.4571829997,tap,lctrl
PFC,PFC014,B3,15,1,15,10.5002744999,stimulus,
PFC,PFC014,B3,15,1,15,11.1770575000,tap,lctrl
PFC,PFC014,B3,16,1,16,11.2502886001,stimulus,
PFC,PFC014,B3,16,1,16,11.9771451000,tap,rctrl
PFC,PFC014,B3,17,1,17,12.0003009001,stimulus,
PFC,PFC014,B3,17,1,17,12.7290281998,tap,lctrl
PFC,PFC014,B3,18,1,18,12.7503152993,stimulus,
PFC,PFC014,B3,18,1,18,13.4810484992,tap,lctrl
PFC,PFC014,B3,19,1,19,13.5003235992,stimulus,
PFC,PFC014,B3,20,1,20,14.2503311001,stimulus,
PFC,PFC014,B3,20,1,20,14.2650090996,tap,lctrl
PFC,PFC014,B3,20,1,20,14.9850932993,tap,rctrl
PFC,PFC014,B3,21,1,21,15.0003601993,stimulus,
PFC,PFC014,B3,21,1,21,15.7050361000,tap,rctrl
PFC,PFC014,B3,22,1,22,15.7503740992,stimulus,
PFC,PFC014,B3,22,1,22,16.4410767993,tap,lctrl
PFC,PFC014,B3,23,1,23,16.5003852993,stimulus,
PFC,PFC014,B3,23,1,23,17.2250560997,tap,rctrl
PFC,PFC014,B3,24,1,24,17.2503991993,stimulus,
PFC,PFC014,B3,24,1,24,17.8970165001,tap,lctrl
PFC,PFC014,B3,25,1,25,18.0004123999,stimulus,
PFC,PFC014,B3,25,1,25,18.6971461996,tap,lctrl
PFC,PFC014,B3,26,1,26,18.7504304992,stimulus,
PFC,PFC014,B3,26,1,26,19.4330545999,tap,lctrl
PFC,PFC014,B3,27,1,27,19.5004380001,stimulus,
PFC,PFC014,B3,27,1,27,20.1370773995,tap,rctrl
PFC,PFC014,B3,28,1,28,20.2504632995,stimulus,
PFC,PFC014,B3,28,1,28,20.8570315000,tap,rctrl
PFC,PFC014,B3,29,1,29,21.0004667994,stimulus,
PFC,PFC014,B3,29,1,29,21.6730881995,tap,lctrl
PFC,PFC014,B3,30,1,30,21.7504791999,stimulus,
PFC,PFC014,B3,30,1,30,22.4091830999,tap,lctrl
PFC,PFC014,B3,31,1,31,22.5005078996,stimulus,
PFC,PFC014,B3,31,1,31,23.2250192994,tap,lctrl
PFC,PFC014,B3,32,1,32,23.2505107000,stimulus,
PFC,PFC014,B3,32,1,32,23.9610642996,tap,rctrl
PFC,PFC014,B3,33,1,33,24.0005206000,stimulus,
PFC,PFC014,B3,33,1,33,24.6810861994,tap,rctrl
PFC,PFC014,B3,34,1,34,24.7505387999,stimulus,
PFC,PFC014,B3,34,1,34,25.4331076993,tap,rctrl
PFC,PFC014,B3,35,1,35,25.5005593998,stimulus,
PFC,PFC014,B3,35,1,35,26.1690726001,tap,lctrl
PFC,PFC014,B3,36,1,36,26.2505658995,stimulus,
PFC,PFC014,B3,36,1,36,26.9210347999,tap,rctrl
PFC,PFC014,B3,37,1,37,27.0005813995,stimulus,
PFC,PFC014,B3,37,1,37,27.7210192000,tap,rctrl
PFC,PFC014,B3,38,1,38,27.7505936995,stimulus,
PFC,PFC014,B3,39,1,39,28.5006029001,stimulus,
PFC,PFC014,B3,39,1,39,28.5050687995,tap,rctrl
PFC,PFC014,B3,40,1,40,29.2506532995,stimulus,
PFC,PFC014,B3,40,1,40,29.3050820995,tap,lctrl
PFC,PFC014,B3,40,1,40,29.9611578993,tap,lctrl
PFC,PFC014,B3,41,1,41,30.0006599994,stimulus,
PFC,PFC014,B3,41,1,41,30.7450529998,tap,lctrl
PFC,PFC014,B3,42,1,42,30.7506558998,stimulus,
PFC,PFC014,B3,42,1,42,31.4650507001,tap,rctrl
PFC,PFC014,B3,43,1,43,31.5006697001,stimulus,
PFC,PFC014,B3,43,1,43,32.1690476993,tap,rctrl
