# {'Language': 'Norwegian', 'Region': 'PFC', 'Participant': 'PFC015', 'Session': 'S2', 'Block': 'B3', 'date': '2022_Jun_10_0958', 'expName': 'FTRSGT_rTMS', 'frameRate': 59.9613490249744}
region,subj,block,trial,proberound,probetrial,time,stimulus,response
PFC,PFC015,B3,1,1,1,0.0002816999,stimulus,
PFC,PFC015,B3,1,1,1,0.2624662006,tap,rctrl
PFC,PFC015,B3,2,1,2,0.7500856007,stimulus,
PFC,PFC015,B3,2,1,2,0.8065956999,tap,lctrl
PFC,PFC015,B3,3,1,3,1.5001010001,stimulus,
PFC,PFC015,B3,3,1,3,1.5745123001,tap,rctrl
PFC,PFC015,B3,4,1,4,2.2501013000,stimulus,
PFC,PFC015,B3,4,1,4,2.2944894005,tap,rctrl
PFC,PFC015,B3,5,1,5,3.0001216000,stimulus,
PFC,PFC015,B3,5,1,5,3.0465325005,tap,rctrl
PFC,PFC015,B3,5,1,5,3.7344732005,tap,lctrl
PFC,PFC015,B3,6,1,6,3.7501277002,stimulus,
PFC,PFC015,B3,6,1,6,4.4864782998,tap,lctrl
PFC,PFC015,B3,7,1,7,4.5001411000,stimulus,
PFC,PFC015,B3,8,1,8,5.2501554005,stimulus,
PFC,PFC015,B3,8,1,8,5.2544585001,tap,lctrl
PFC,PFC015,B3,8,1,8,5.9744408000,tap,lctrl
PFC,PFC015,B3,9,1,9,6.0001744004,stimulus,
PFC,PFC015,B3,10,1,10,6.7501797006,stimulus,
PFC,PFC015,B3,10,1,10,6.7584731998,tap,rctrl
PFC,PFC015,B3,10,1,10,7.4944855003,tap,rctrl
PFC,PFC015,B3,11,1,11,7.5002001002,stimulus,
PFC,PFC015,B3,12,1,12,8.2502068998,stimulus,
PFC,PFC015,B3,12,1,12,8.2624810003,tap,rctrl
PFC,PFC015,B3,12,1,12,8.9825831000,tap,lctrl
PFC,PFC015,B3,13,1,13,9.0002287999,stimulus,
PFC,PFC015,B3,14,1,14,9.7502319003,stimulus,
PFC,PFC015,B3,14,1,14,9.7664927002,tap,lctrl
PFC,PFC015,B3,15,1,15,10.5002495004,stimulus,
PFC,PFC015,B3,15,1,15,10.5024672998,tap,lctrl
PFC,PFC015,B3,16,1,16,11.2502723001,stimulus,
PFC,PFC015,B3,16,1,16,11.2705848003,tap,lctrl
PFC,PFC015,B3,16,1,16,11.9744102005,tap,rctrl
PFC,PFC015,B3,17,1,17,12.0002752999,stimulus,
PFC,PFC015,B3,18,1,18,12.7502938006,stimulus,
PFC,PFC015,B3,18,1,18,12.8384296000,tap,rctrl
PFC,PFC015,B3,19,1,19,13.5003239000,stimulus,
PFC,PFC015,B3,19,1,19,13.5105242999,tap,rctrl
PFC,PFC015,B3,19,1,19,14.2465120004,tap,rctrl
PFC,PFC015,B3,20,1,20,14.2503273999,stimulus,
PFC,PFC015,B3,20,1,20,14.9504821002,tap,lctrl
PFC,PFC015,B3,21,1,21,15.0003307005,stimulus,
PFC,PFC015,B3,21,1,21,15.7504352005,tap,rctrl
PFC,PFC015,B3,22,1,22,15.7505769003,stimulus,
PFC,PFC015,B3,22,1,22,16.4545514006,tap,rctrl
PFC,PFC015,B3,23,1,23,16.5006098999,stimulus,
PFC,PFC015,B3,24,1,24,17.2506269999,stimulus,
PFC,PFC015,B3,24,1,24,17.3184793005,tap,rctrl
PFC,PFC015,B3,25,1,25,18.0006264001,stimulus,
PFC,PFC015,B3,25,1,25,18.0065206001,tap,lctrl
PFC,PFC015,B3,25,1,25,18.7424493004,tap,lctrl
PFC,PFC015,B3,26,1,26,18.7506360998,stimulus,
PFC,PFC015,B3,26,1,26,19.4944218006,tap,rctrl
PFC,PFC015,B3,27,1,27,19.5006526001,stimulus,
PFC,PFC015,B3,28,1,28,20.2506601000,stimulus,
PFC,PFC015,B3,28,1,28,20.2944908002,tap,rctrl
PFC,PFC015,B3,29,1,29,21.0006921003,stimulus,
PFC,PFC015,B3,29,1,29,21.0305820005,tap,rctrl
PFC,PFC015,B3,29,1,29,21.6865095999,tap,rctrl
PFC,PFC015,B3,30,1,30,21.7506970000,stimulus,
PFC,PFC015,B3,30,1,30,22.4225118998,tap,lctrl
PFC,PFC015,B3,31,1,31,22.5007276004,stimulus,
PFC,PFC015,B3,31,1,31,23.1432397999,tap,lctrl
PFC,PFC015,B3,32,1,32,23.2507720003,stimulus,
PFC,PFC015,B3,32,1,32,23.9424873004,tap,rctrl
PFC,PFC015,B3,33,1,33,24.0007460006,stimulus,
PFC,PFC015,B3,33,1,33,24.6304259002,tap,rctrl
PFC,PFC015,B3,34,1,34,24.7507565003,stimulus,
