# {'Language': 'English', 'Region': 'PFC', 'Participant': 'PFC016', 'Session': 'S1', 'Block': 'B0', 'date': '2022_Jun_23_0723', 'expName': 'FTRSGT_rTMS', 'frameRate': 59.9494865618359}
region,subj,block,trial,proberound,probetrial,time,stimulus,response
PFC,PFC016,B0,1,1,1,0.0000902000,stimulus,
PFC,PFC016,B0,1,1,1,0.1775021000,tap,rctrl
PFC,PFC016,B0,2,1,2,0.7500821000,stimulus,
PFC,PFC016,B0,2,1,2,0.7693968000,tap,rctrl
PFC,PFC016,B0,2,1,2,1.3773913000,tap,rctrl
PFC,PFC016,B0,3,1,3,1.5000902000,stimulus,
PFC,PFC016,B0,3,1,3,2.1133861000,tap,lctrl
PFC,PFC016,B0,4,1,4,2.2501308000,stimulus,
PFC,PFC016,B0,4,1,4,2.8334423000,tap,lctrl
PFC,PFC016,B0,5,1,5,3.0001343000,stimulus,
PFC,PFC016,B0,5,1,5,3.6015099000,tap,lctrl
PFC,PFC016,B0,6,1,6,3.7501372000,stimulus,
PFC,PFC016,B0,6,1,6,4.3694280000,tap,rctrl
PFC,PFC016,B0,7,1,7,4.5001549000,stimulus,
PFC,PFC016,B0,7,1,7,5.1054597000,tap,lctrl
PFC,PFC016,B0,8,1,8,5.2501698000,stimulus,
PFC,PFC016,B0,8,1,8,5.8254645000,tap,lctrl
PFC,PFC016,B0,9,1,9,6.0001891000,stimulus,
PFC,PFC016,B0,9,1,9,6.5614121000,tap,rctrl
PFC,PFC016,B0,10,1,10,6.7501945000,stimulus,
PFC,PFC016,B0,10,1,10,7.3774615000,tap,rctrl
PFC,PFC016,B0,11,1,11,7.5002070000,stimulus,
PFC,PFC016,B0,11,1,11,8.1134541000,tap,rctrl
PFC,PFC016,B0,12,1,12,8.2502325000,stimulus,
PFC,PFC016,B0,12,1,12,8.8334558000,tap,lctrl
PFC,PFC016,B0,13,1,13,9.0002346000,stimulus,
PFC,PFC016,B0,13,1,13,9.6174057000,tap,lctrl
PFC,PFC016,B0,14,1,14,9.7502474000,stimulus,
PFC,PFC016,B0,14,1,14,10.3374588000,tap,lctrl
PFC,PFC016,B0,15,1,15,10.5002717000,stimulus,
PFC,PFC016,B0,15,1,15,11.0734328000,tap,lctrl
PFC,PFC016,B0,16,1,16,11.2502873000,stimulus,
PFC,PFC016,B0,16,1,16,11.7454160000,tap,lctrl
PFC,PFC016,B0,17,1,17,12.0002918000,stimulus,
PFC,PFC016,B0,17,1,17,12.5934341000,tap,lctrl
PFC,PFC016,B0,18,1,18,12.7503067000,stimulus,
PFC,PFC016,B0,18,1,18,13.3774494000,tap,rctrl
PFC,PFC016,B0,19,1,19,13.5003209000,stimulus,
PFC,PFC016,B0,19,1,19,14.1293890000,tap,rctrl
PFC,PFC016,B0,20,1,20,14.2503303000,stimulus,
PFC,PFC016,B0,20,1,20,14.7854051000,tap,rctrl
PFC,PFC016,B0,21,1,21,15.0003450000,stimulus,
PFC,PFC016,B0,21,1,21,15.5054133000,tap,rctrl
PFC,PFC016,B0,22,1,22,15.7503572000,stimulus,
PFC,PFC016,B0,22,1,22,16.3374265000,tap,rctrl
PFC,PFC016,B0,23,1,23,16.5003797000,stimulus,
PFC,PFC016,B0,23,1,23,17.0733989000,tap,lctrl
PFC,PFC016,B0,24,1,24,17.2503821000,stimulus,
PFC,PFC016,B0,24,1,24,17.9374187000,tap,lctrl
PFC,PFC016,B0,25,1,25,18.0004015000,stimulus,
PFC,PFC016,B0,25,1,25,18.6893976000,tap,lctrl
PFC,PFC016,B0,26,1,26,18.7504159000,stimulus,
PFC,PFC016,B0,26,1,26,19.4575011000,tap,lctrl
PFC,PFC016,B0,27,1,27,19.5004373000,stimulus,
PFC,PFC016,B0,28,1,28,20.2504525000,stimulus,
PFC,PFC016,B0,28,1,28,20.2574277000,tap,lctrl
PFC,PFC016,B0,28,1,28,20.9774995000,tap,lctrl
PFC,PFC016,B0,29,1,29,21.0004759000,stimulus,
PFC,PFC016,B0,29,1,29,21.6494301000,tap,lctrl
PFC,PFC016,B0,30,1,30,21.7504851000,stimulus,
PFC,PFC016,B0,30,1,30,22.4654007000,tap,lctrl
PFC,PFC016,B0,31,1,31,22.5004881000,stimulus,
PFC,PFC016,B0,32,1,32,23.2505178000,stimulus,
PFC,PFC016,B0,32,1,32,23.2655031000,tap,lctrl
PFC,PFC016,B0,33,1,33,24.0005226000,stimulus,
PFC,PFC016,B0,33,1,33,24.0173816000,tap,lctrl
PFC,PFC016,B0,33,1,33,24.6894325000,tap,lctrl
PFC,PFC016,B0,34,1,34,24.7505291000,stimulus,
PFC,PFC016,B0,34,1,34,25.4734300000,tap,rctrl
PFC,PFC016,B0,35,1,35,25.5005467000,stimulus,
PFC,PFC016,B0,35,1,35,26.1934059000,tap,rctrl
PFC,PFC016,B0,36,1,36,26.2505650000,stimulus,
PFC,PFC016,B0,36,1,36,26.9134099000,tap,lctrl
PFC,PFC016,B0,37,1,37,27.0005751000,stimulus,
PFC,PFC016,B0,37,1,37,27.6174828000,tap,rctrl
PFC,PFC016,B0,38,1,38,27.7506139000,stimulus,
PFC,PFC016,B0,38,1,38,28.3534222000,tap,rctrl
PFC,PFC016,B0,39,1,39,28.5006057000,stimulus,
PFC,PFC016,B0,39,1,39,29.1694416000,tap,lctrl
PFC,PFC016,B0,40,1,40,29.2506322000,stimulus,
PFC,PFC016,B0,40,1,40,29.8413846000,tap,rctrl
PFC,PFC016,B0,41,1,41,30.0006251000,stimulus,
PFC,PFC016,B0,41,1,41,30.5454133000,tap,lctrl
PFC,PFC016,B0,42,1,42,30.7506379000,stimulus,
PFC,PFC016,B0,42,1,42,31.2655046000,tap,lctrl
PFC,PFC016,B0,43,1,43,31.5006748000,stimulus,
PFC,PFC016,B0,43,1,43,32.0494235000,tap,lctrl
PFC,PFC016,B0,44,1,44,32.2506763000,stimulus,
PFC,PFC016,B0,44,1,44,32.8174850000,tap,lctrl
PFC,PFC016,B0,45,1,45,33.0006946000,stimulus,
PFC,PFC016,B0,45,1,45,33.6175369000,tap,rctrl
PFC,PFC016,B0,46,1,46,33.7507167000,stimulus,
PFC,PFC016,B0,46,1,46,34.3693885000,tap,rctrl
PFC,PFC016,B0,47,1,47,34.5007155000,stimulus,
PFC,PFC016,B0,47,1,47,35.1054104000,tap,rctrl
PFC,PFC016,B0,48,1,48,35.2507311000,stimulus,
PFC,PFC016,B0,48,1,48,35.8575270000,tap,rctrl
PFC,PFC016,B0,49,1,49,36.0007569000,stimulus,
PFC,PFC016,B0,49,1,49,36.5614308000,tap,rctrl
PFC,PFC016,B0,50,1,50,36.7507584000,stimulus,
PFC,PFC016,B0,50,1,50,37.3453917000,tap,rctrl
PFC,PFC016,B0,51,1,51,37.5007723000,stimulus,
PFC,PFC016,B0,51,1,51,38.1934769000,tap,rctrl
PFC,PFC016,B0,52,1,52,38.2507960000,stimulus,
PFC,PFC016,B0,52,1,52,38.8973967000,tap,lctrl
PFC,PFC016,B0,53,1,53,39.0008031000,stimulus,
PFC,PFC016,B0,53,1,53,39.6334119000,tap,lctrl
PFC,PFC016,B0,54,1,54,39.7508137000,stimulus,
PFC,PFC016,B0,54,1,54,40.3534006000,tap,lctrl
PFC,PFC016,B0,55,1,55,40.5008200000,stimulus,
PFC,PFC016,B0,55,1,55,41.0573891000,tap,lctrl
PFC,PFC016,B0,56,1,56,41.2508393000,stimulus,
PFC,PFC016,B0,56,1,56,41.8414213000,tap,lctrl
PFC,PFC016,B0,57,1,57,42.0008497000,stimulus,
PFC,PFC016,B0,57,1,57,42.5934061000,tap,lctrl
PFC,PFC016,B0,58,1,58,42.7508724000,stimulus,
PFC,PFC016,B0,58,1,58,43.2494549000,tap,lctrl
PFC,PFC016,B0,59,1,59,43.5008818000,stimulus,
PFC,PFC016,B0,59,1,59,44.0493804000,tap,rctrl
PFC,PFC016,B0,60,1,60,44.2508948000,stimulus,
PFC,PFC016,B0,60,1,60,44.8173850000,tap,lctrl
PFC,PFC016,B0,61,1,61,45.0009139000,stimulus,
PFC,PFC016,B0,61,1,61,45.6013686000,tap,rctrl
PFC,PFC016,B0,62,1,62,45.7509275000,stimulus,
PFC,PFC016,B0,62,1,62,46.3854344000,tap,lctrl
PFC,PFC016,B0,63,1,63,46.5009484000,stimulus,
PFC,PFC016,B0,64,1,64,47.2509583000,stimulus,
PFC,PFC016,B0,64,1,64,47.2653872000,tap,rctrl
PFC,PFC016,B0,65,1,65,48.0009792000,stimulus,
PFC,PFC016,B0,65,1,65,48.0014639000,tap,lctrl
PFC,PFC016,B0,65,1,65,48.6573571000,tap,lctrl
PFC,PFC016,B0,66,1,66,48.7509926000,stimulus,
PFC,PFC016,B0,67,1,67,49.5010070000,stimulus,
PFC,PFC016,B0,67,1,67,49.5054015000,tap,lctrl
PFC,PFC016,B0,67,1,67,50.1453693000,tap,rctrl
PFC,PFC016,B0,68,1,68,50.2510167000,stimulus,
PFC,PFC016,B0,68,1,68,50.9933721000,tap,rctrl
PFC,PFC016,B0,69,1,69,51.0010446000,stimulus,
PFC,PFC016,B0,69,1,69,51.6973912000,tap,rctrl
PFC,PFC016,B0,70,1,70,51.7510632000,stimulus,
PFC,PFC016,B0,70,1,70,52.4494752000,tap,rctrl
PFC,PFC016,B0,71,1,71,52.5010819000,stimulus,
PFC,PFC016,B0,71,1,71,53.1054039000,tap,rctrl
PFC,PFC016,B0,72,1,72,53.2510979000,stimulus,
PFC,PFC016,B0,72,1,72,53.8894016000,tap,lctrl
PFC,PFC016,B0,73,1,73,54.0011043000,stimulus,
PFC,PFC016,B0,74,1,74,54.7511138000,stimulus,
PFC,PFC016,B0,74,1,74,54.7854245000,tap,lctrl
PFC,PFC016,B0,75,1,75,55.5011262000,stimulus,
PFC,PFC016,B0,76,1,76,56.2511511000,stimulus,
PFC,PFC016,B0,76,1,76,56.3054575000,tap,rctrl
PFC,PFC016,B0,76,1,76,56.9133722000,tap,rctrl
PFC,PFC016,B0,77,1,77,57.0011531000,stimulus,
