# {'Language': 'English', 'Region': 'PFC', 'Participant': 'PFC018', 'Session': 'S2', 'Block': 'B3', 'date': '2022_Aug_25_0846', 'expName': 'FTRSGT_rTMS', 'frameRate': 59.94912702072529}
region,subj,block,trial,proberound,probetrial,time,stimulus,response
PFC,PFC018,B3,1,1,1,0.0000791000,stimulus,
PFC,PFC018,B3,2,1,2,0.7500644000,stimulus,
PFC,PFC018,B3,2,1,2,0.7993038995,tap,rctrl
PFC,PFC018,B3,2,1,2,1.4871781999,tap,rctrl
PFC,PFC018,B3,3,1,3,1.5000850996,stimulus,
PFC,PFC018,B3,3,1,3,2.2391502997,tap,rctrl
PFC,PFC018,B3,4,1,4,2.2500911001,stimulus,
PFC,PFC018,B3,4,1,4,2.9272151999,tap,rctrl
PFC,PFC018,B3,5,1,5,3.0001071999,stimulus,
PFC,PFC018,B3,5,1,5,3.5991544994,tap,rctrl
PFC,PFC018,B3,6,1,6,3.7501194999,stimulus,
PFC,PFC018,B3,6,1,6,4.4151606001,tap,rctrl
PFC,PFC018,B3,7,1,7,4.5001371996,stimulus,
PFC,PFC018,B3,7,1,7,5.1352116000,tap,rctrl
PFC,PFC018,B3,8,1,8,5.2501524994,stimulus,
PFC,PFC018,B3,8,1,8,5.8871553997,tap,lctrl
PFC,PFC018,B3,9,1,9,6.0001674993,stimulus,
PFC,PFC018,B3,9,1,9,6.6551890997,tap,lctrl
PFC,PFC018,B3,10,1,10,6.7501822999,stimulus,
PFC,PFC018,B3,10,1,10,7.4711964000,tap,lctrl
PFC,PFC018,B3,11,1,11,7.5001903996,stimulus,
PFC,PFC018,B3,11,1,11,8.1751478994,tap,lctrl
PFC,PFC018,B3,12,1,12,8.2502049999,stimulus,
PFC,PFC018,B3,12,1,12,8.8791601993,tap,lctrl
PFC,PFC018,B3,13,1,13,9.0002270993,stimulus,
PFC,PFC018,B3,13,1,13,9.6311555998,tap,lctrl
PFC,PFC018,B3,14,1,14,9.7502363995,stimulus,
PFC,PFC018,B3,14,1,14,10.3831679001,tap,lctrl
PFC,PFC018,B3,15,1,15,10.5002432000,stimulus,
PFC,PFC018,B3,15,1,15,11.1831452996,tap,lctrl
PFC,PFC018,B3,16,1,16,11.2502694000,stimulus,
PFC,PFC018,B3,16,1,16,11.9191961000,tap,lctrl
PFC,PFC018,B3,17,1,17,12.0002764994,stimulus,
PFC,PFC018,B3,17,1,17,12.6552216997,tap,lctrl
PFC,PFC018,B3,18,1,18,12.7502926998,stimulus,
PFC,PFC018,B3,18,1,18,13.3431473998,tap,lctrl
PFC,PFC018,B3,19,1,19,13.5002975995,stimulus,
PFC,PFC018,B3,19,1,19,14.2391518997,tap,lctrl
PFC,PFC018,B3,20,1,20,14.2503228001,stimulus,
PFC,PFC018,B3,20,1,20,14.9911579993,tap,rctrl
PFC,PFC018,B3,21,1,21,15.0003303001,stimulus,
PFC,PFC018,B3,21,1,21,15.7432164000,tap,rctrl
PFC,PFC018,B3,22,1,22,15.7503690999,stimulus,
PFC,PFC018,B3,22,1,22,16.4792184997,tap,rctrl
PFC,PFC018,B3,23,1,23,16.5003787000,stimulus,
PFC,PFC018,B3,23,1,23,17.2311418001,tap,rctrl
