# {'Language': 'English', 'Region': 'PFC', 'Participant': 'PFC020', 'Session': 'S1', 'Block': 'B2', 'date': '2022_Aug_30_1420', 'expName': 'FTRSGT_rTMS', 'frameRate': 59.96210377354402},
region,subj,block,trial,proberound,probetrial,time,stimulus,response
PFC,PFC020,B2,1,1,1,0.0000860998,stimulus,
PFC,PFC020,B2,1,1,1,0.0005020006,tap,return
PFC,PFC020,B2,2,1,2,0.7500723004,stimulus,
PFC,PFC020,B2,2,1,2,0.8316002004,tap,rctrl
PFC,PFC020,B2,2,1,2,1.4714986002,tap,rctrl
PFC,PFC020,B2,3,1,3,1.5000750003,stimulus,
PFC,PFC020,B2,3,1,3,2.2394481003,tap,rctrl
PFC,PFC020,B2,4,1,4,2.2500809999,stimulus,
PFC,PFC020,B2,4,1,4,2.9594689002,tap,lctrl
PFC,PFC020,B2,5,1,5,3.0000890000,stimulus,
PFC,PFC020,B2,6,1,6,3.7501157997,stimulus,
PFC,PFC020,B2,6,1,6,3.7915377002,tap,rctrl
PFC,PFC020,B2,7,1,7,4.5001236005,stimulus,
PFC,PFC020,B2,7,1,7,4.5114722000,tap,lctrl
PFC,PFC020,B2,8,1,8,5.2501341999,stimulus,
PFC,PFC020,B2,8,1,8,5.3114525005,tap,rctrl
PFC,PFC020,B2,8,1,8,5.9674952002,tap,lctrl
PFC,PFC020,B2,9,1,9,6.0001491001,stimulus,
PFC,PFC020,B2,10,1,10,6.7501584003,stimulus,
PFC,PFC020,B2,10,1,10,6.7995472001,tap,rctrl
PFC,PFC020,B2,11,1,11,7.5001717005,stimulus,
PFC,PFC020,B2,11,1,11,7.5194978006,tap,lctrl
PFC,PFC020,B2,11,1,11,8.2395234006,tap,rctrl
PFC,PFC020,B2,12,1,12,8.2501924997,stimulus,
PFC,PFC020,B2,12,1,12,8.9435069999,tap,rctrl
PFC,PFC020,B2,13,1,13,9.0001990004,stimulus,
PFC,PFC020,B2,13,1,13,9.6794458004,tap,rctrl
PFC,PFC020,B2,14,1,14,9.7502135998,stimulus,
PFC,PFC020,B2,14,1,14,10.4474504003,tap,lctrl
PFC,PFC020,B2,15,1,15,10.5002295999,stimulus,
PFC,PFC020,B2,15,1,15,11.2154703001,tap,rctrl
PFC,PFC020,B2,16,1,16,11.2502513006,stimulus,
PFC,PFC020,B2,16,1,16,11.9354495006,tap,lctrl
PFC,PFC020,B2,17,1,17,12.0002535004,stimulus,
PFC,PFC020,B2,17,1,17,12.7195135998,tap,rctrl
PFC,PFC020,B2,18,1,18,12.7502674004,stimulus,
PFC,PFC020,B2,18,1,18,13.4875090998,tap,lctrl
PFC,PFC020,B2,19,1,19,13.5002797004,stimulus,
PFC,PFC020,B2,19,1,19,14.1754545001,tap,rctrl
PFC,PFC020,B2,20,1,20,14.2502963003,stimulus,
PFC,PFC020,B2,20,1,20,14.9595264001,tap,lctrl
PFC,PFC020,B2,21,1,21,15.0003081001,stimulus,
PFC,PFC020,B2,21,1,21,15.7114567002,tap,rctrl
PFC,PFC020,B2,22,1,22,15.7503295001,stimulus,
PFC,PFC020,B2,22,1,22,16.4795382004,tap,lctrl
PFC,PFC020,B2,23,1,23,16.5003311001,stimulus,
PFC,PFC020,B2,23,1,23,17.1514403000,tap,rctrl
PFC,PFC020,B2,24,1,24,17.2503442001,stimulus,
PFC,PFC020,B2,24,1,24,17.9674267005,tap,lctrl
PFC,PFC020,B2,25,1,25,18.0003526006,stimulus,
PFC,PFC020,B2,25,1,25,18.6394964000,tap,rctrl
PFC,PFC020,B2,26,1,26,18.7503749998,stimulus,
PFC,PFC020,B2,26,1,26,19.3594787000,tap,lctrl
PFC,PFC020,B2,27,1,27,19.5003843000,stimulus,
PFC,PFC020,B2,27,1,27,20.0954251001,tap,rctrl
PFC,PFC020,B2,28,1,28,20.2503997004,stimulus,
PFC,PFC020,B2,28,1,28,20.8794694999,tap,lctrl
PFC,PFC020,B2,29,1,29,21.0004153000,stimulus,
PFC,PFC020,B2,29,1,29,21.6794436006,tap,rctrl
