# {'Language': 'Norwegian', 'Region': 'PFC', 'Participant': 'PFC024', 'Session': 'S1', 'Block': 'B1', 'date': '2022_Sep_19_1455', 'expName': 'FTRSGT_rTMS', 'frameRate': 59.95070855688744}
region,subj,block,trial,proberound,probetrial,time,stimulus,response
PFC,PFC024,B1,1,1,1,0.0000817999,stimulus,
PFC,PFC024,B1,1,1,1,0.2106949994,tap,rctrl
PFC,PFC024,B1,2,1,2,0.7500788998,stimulus,
PFC,PFC024,B1,2,1,2,0.8186050998,tap,rctrl
PFC,PFC024,B1,2,1,2,1.4906204995,tap,rctrl
PFC,PFC024,B1,3,1,3,1.5000749994,stimulus,
PFC,PFC024,B1,3,1,3,2.1626420999,tap,rctrl
PFC,PFC024,B1,4,1,4,2.2500984995,stimulus,
PFC,PFC024,B1,4,1,4,2.8666369999,tap,rctrl
PFC,PFC024,B1,5,1,5,3.0001013996,stimulus,
PFC,PFC024,B1,5,1,5,3.6505990000,tap,lctrl
PFC,PFC024,B1,6,1,6,3.7501182994,stimulus,
PFC,PFC024,B1,6,1,6,4.3865598002,tap,rctrl
PFC,PFC024,B1,7,1,7,4.5001305994,stimulus,
PFC,PFC024,B1,7,1,7,5.0907143997,tap,lctrl
PFC,PFC024,B1,8,1,8,5.2501494000,stimulus,
PFC,PFC024,B1,8,1,8,5.9547758996,tap,rctrl
PFC,PFC024,B1,9,1,9,6.0001662998,stimulus,
PFC,PFC024,B1,9,1,9,6.6906618997,tap,lctrl
PFC,PFC024,B1,10,1,10,6.7501793001,stimulus,
PFC,PFC024,B1,10,1,10,7.4106513998,tap,lctrl
PFC,PFC024,B1,11,1,11,7.5001873998,stimulus,
PFC,PFC024,B1,11,1,11,8.1467274996,tap,rctrl
PFC,PFC024,B1,12,1,12,8.2502020001,stimulus,
PFC,PFC024,B1,12,1,12,8.9146293998,tap,lctrl
PFC,PFC024,B1,13,1,13,9.0002221996,stimulus,
PFC,PFC024,B1,13,1,13,9.7306479998,tap,rctrl
PFC,PFC024,B1,14,1,14,9.7502352996,stimulus,
PFC,PFC024,B1,14,1,14,10.4825964998,tap,lctrl
PFC,PFC024,B1,15,1,15,10.5002496000,stimulus,
PFC,PFC024,B1,15,1,15,11.1866319999,tap,rctrl
PFC,PFC024,B1,16,1,16,11.2502555996,stimulus,
PFC,PFC024,B1,16,1,16,11.9706509002,tap,rctrl
PFC,PFC024,B1,17,1,17,12.0002748994,stimulus,
PFC,PFC024,B1,17,1,17,12.6906124000,tap,rctrl
PFC,PFC024,B1,18,1,18,12.7502983995,stimulus,
PFC,PFC024,B1,18,1,18,13.4586217999,tap,lctrl
PFC,PFC024,B1,19,1,19,13.5003057998,stimulus,
PFC,PFC024,B1,19,1,19,14.1785942996,tap,rctrl
PFC,PFC024,B1,20,1,20,14.2503293995,stimulus,
PFC,PFC024,B1,20,1,20,14.9146237001,tap,lctrl
PFC,PFC024,B1,21,1,21,15.0003603995,stimulus,
PFC,PFC024,B1,21,1,21,15.6345870001,tap,rctrl
PFC,PFC024,B1,22,1,22,15.7503562002,stimulus,
