# {'Language': 'English', 'Region': 'PFC', 'Participant': 'PFC027', 'Session': 'S1', 'Block': 'B3', 'date': '2022_Sep_27_1639', 'expName': 'FTRSGT_rTMS', 'frameRate': 59.953943853221936}
region,subj,block,trial,proberound,probetrial,time,stimulus,response
PFC,PFC027,B3,1,1,1,0.0000729002,stimulus,
PFC,PFC027,B3,2,1,2,0.7500621993,stimulus,
PFC,PFC027,B3,2,1,2,0.8475569002,tap,rctrl
PFC,PFC027,B3,2,1,2,1.4075242002,tap,rctrl
PFC,PFC027,B3,3,1,3,1.5000784006,stimulus,
PFC,PFC027,B3,3,1,3,2.0955356993,tap,rctrl
PFC,PFC027,B3,4,1,4,2.2500873003,stimulus,
PFC,PFC027,B3,4,1,4,2.7835844997,tap,rctrl
PFC,PFC027,B3,5,1,5,3.0001043994,stimulus,
PFC,PFC027,B3,5,1,5,3.5515889004,tap,rctrl
PFC,PFC027,B3,6,1,6,3.7501267008,stimulus,
PFC,PFC027,B3,6,1,6,4.3675660994,tap,rctrl
PFC,PFC027,B3,7,1,7,4.5001353994,stimulus,
PFC,PFC027,B3,7,1,7,5.0715398993,tap,rctrl
PFC,PFC027,B3,8,1,8,5.2501470000,stimulus,
PFC,PFC027,B3,8,1,8,5.7915700991,tap,rctrl
PFC,PFC027,B3,9,1,9,6.0001570005,stimulus,
PFC,PFC027,B3,9,1,9,6.5755011998,tap,rctrl
PFC,PFC027,B3,10,1,10,6.7501688004,stimulus,
PFC,PFC027,B3,10,1,10,7.3115535993,tap,rctrl
PFC,PFC027,B3,11,1,11,7.5001893993,stimulus,
PFC,PFC027,B3,11,1,11,8.0635901000,tap,rctrl
PFC,PFC027,B3,12,1,12,8.2502011992,stimulus,
PFC,PFC027,B3,12,1,12,8.8475294001,tap,rctrl
PFC,PFC027,B3,13,1,13,9.0002149008,stimulus,
PFC,PFC027,B3,13,1,13,9.5675326996,tap,rctrl
PFC,PFC027,B3,14,1,14,9.7502301000,stimulus,
PFC,PFC027,B3,14,1,14,10.4315948002,tap,rctrl
PFC,PFC027,B3,15,1,15,10.5002424996,stimulus,
PFC,PFC027,B3,15,1,15,11.2475904990,tap,rctrl
PFC,PFC027,B3,16,1,16,11.2502746005,stimulus,
PFC,PFC027,B3,16,1,16,11.9995021001,tap,rctrl
PFC,PFC027,B3,17,1,17,12.0002707001,stimulus,
PFC,PFC027,B3,17,1,17,12.7355128005,tap,rctrl
PFC,PFC027,B3,18,1,18,12.7502922993,stimulus,
PFC,PFC027,B3,18,1,18,13.4075364992,tap,rctrl
PFC,PFC027,B3,19,1,19,13.5003095996,stimulus,
PFC,PFC027,B3,19,1,19,14.1275300998,tap,rctrl
PFC,PFC027,B3,20,1,20,14.2503102999,stimulus,
PFC,PFC027,B3,20,1,20,14.8794918992,tap,rctrl
PFC,PFC027,B3,21,1,21,15.0003168993,stimulus,
