# {'Language': 'English', 'Region': 'PFC', 'Participant': 'PFC030', 'Session': 'S1', 'Block': 'B1', 'date': '2022_Nov_07_1558', 'expName': 'FTRSGT_rTMS', 'frameRate': 59.9419043942317}
region,subj,block,trial,proberound,probetrial,time,stimulus,response
PFC,PFC030,B1,1,1,1,0.0001327000,stimulus,
PFC,PFC030,B1,1,1,1,0.4341477002,tap,rctrl
PFC,PFC030,B1,2,1,2,0.7500996999,stimulus,
PFC,PFC030,B1,2,1,2,0.9461890999,tap,rctrl
PFC,PFC030,B1,3,1,3,1.5001252000,stimulus,
PFC,PFC030,B1,3,1,3,1.5061904001,tap,rctrl
PFC,PFC030,B1,4,1,4,2.2501265998,stimulus,
PFC,PFC030,B1,4,1,4,2.2741656001,tap,rctrl
PFC,PFC030,B1,4,1,4,2.9781696000,tap,rctrl
PFC,PFC030,B1,5,1,5,3.0001253998,stimulus,
PFC,PFC030,B1,6,1,6,3.7501633000,stimulus,
PFC,PFC030,B1,6,1,6,3.7621812997,tap,rctrl
PFC,PFC030,B1,6,1,6,4.4821691001,tap,rctrl
PFC,PFC030,B1,7,1,7,4.5001686998,stimulus,
PFC,PFC030,B1,7,1,7,5.1701964000,tap,lctrl
PFC,PFC030,B1,8,1,8,5.2501931000,stimulus,
PFC,PFC030,B1,8,1,8,5.9062319999,tap,lctrl
PFC,PFC030,B1,9,1,9,6.0002106000,stimulus,
PFC,PFC030,B1,9,1,9,6.6102152998,tap,lctrl
PFC,PFC030,B1,10,1,10,6.7502247002,stimulus,
PFC,PFC030,B1,10,1,10,7.2982331999,tap,rctrl
PFC,PFC030,B1,11,1,11,7.5002412000,stimulus,
PFC,PFC030,B1,11,1,11,8.0341928001,tap,lctrl
PFC,PFC030,B1,12,1,12,8.2502672998,stimulus,
PFC,PFC030,B1,12,1,12,8.8022429999,tap,lctrl
PFC,PFC030,B1,13,1,13,9.0002798000,stimulus,
PFC,PFC030,B1,13,1,13,9.5701675001,tap,rctrl
PFC,PFC030,B1,14,1,14,9.7502927999,stimulus,
PFC,PFC030,B1,14,1,14,10.3381608999,tap,rctrl
PFC,PFC030,B1,15,1,15,10.5003097998,stimulus,
PFC,PFC030,B1,15,1,15,11.0902463999,tap,lctrl
PFC,PFC030,B1,16,1,16,11.2503296998,stimulus,
PFC,PFC030,B1,16,1,16,11.8421740001,tap,lctrl
PFC,PFC030,B1,17,1,17,12.0003525000,stimulus,
PFC,PFC030,B1,17,1,17,12.5621644999,tap,lctrl
PFC,PFC030,B1,18,1,18,12.7503879000,stimulus,
PFC,PFC030,B1,18,1,18,13.2662501000,tap,rctrl
PFC,PFC030,B1,19,1,19,13.5003880002,stimulus,
PFC,PFC030,B1,19,1,19,14.0342366998,tap,lctrl
PFC,PFC030,B1,20,1,20,14.2503967001,stimulus,
PFC,PFC030,B1,20,1,20,14.8021605001,tap,lctrl
PFC,PFC030,B1,21,1,21,15.0004083999,stimulus,
PFC,PFC030,B1,21,1,21,15.5541802999,tap,lctrl
PFC,PFC030,B1,22,1,22,15.7504216000,stimulus,
PFC,PFC030,B1,22,1,22,16.2901881002,tap,rctrl
PFC,PFC030,B1,23,1,23,16.5004369998,stimulus,
PFC,PFC030,B1,23,1,23,17.0741983000,tap,rctrl
PFC,PFC030,B1,24,1,24,17.2504524998,stimulus,
PFC,PFC030,B1,24,1,24,17.8101989999,tap,lctrl
PFC,PFC030,B1,25,1,25,18.0004639002,stimulus,
PFC,PFC030,B1,25,1,25,18.5942692999,tap,lctrl
PFC,PFC030,B1,26,1,26,18.7504807999,stimulus,
PFC,PFC030,B1,26,1,26,19.2981757000,tap,lctrl
PFC,PFC030,B1,27,1,27,19.5004948000,stimulus,
PFC,PFC030,B1,27,1,27,20.0661888001,tap,rctrl
PFC,PFC030,B1,28,1,28,20.2505116002,stimulus,
PFC,PFC030,B1,28,1,28,20.8021792998,tap,rctrl
PFC,PFC030,B1,29,1,29,21.0005272999,stimulus,
PFC,PFC030,B1,29,1,29,21.5701541998,tap,lctrl
PFC,PFC030,B1,30,1,30,21.7505361000,stimulus,
PFC,PFC030,B1,30,1,30,22.3541879002,tap,lctrl
PFC,PFC030,B1,31,1,31,22.5005569002,stimulus,
PFC,PFC030,B1,31,1,31,23.0582182999,tap,rctrl
PFC,PFC030,B1,32,1,32,23.2505768999,stimulus,
PFC,PFC030,B1,32,1,32,23.7942458000,tap,rctrl
PFC,PFC030,B1,33,1,33,24.0005884999,stimulus,
