# {'Language': 'English', 'Region': 'PFC', 'Participant': 'PFC032', 'Session': 'S2', 'Block': 'B1', 'date': '2022_Oct_28_1643', 'expName': 'FTRSGT_rTMS', 'frameRate': 59.95566876202646}
region,subj,block,trial,proberound,probetrial,time,stimulus,response
PFC,PFC032,B1,1,1,1,0.0001404001,stimulus,
PFC,PFC032,B1,1,1,1,0.2696292000,tap,rctrl
PFC,PFC032,B1,1,1,1,0.6696365001,tap,rctrl
PFC,PFC032,B1,2,1,2,0.7500904002,stimulus,
PFC,PFC032,B1,2,1,2,1.3576477002,tap,rctrl
PFC,PFC032,B1,3,1,3,1.5001068003,stimulus,
PFC,PFC032,B1,3,1,3,1.9976073001,tap,rctrl
PFC,PFC032,B1,4,1,4,2.2501325002,stimulus,
PFC,PFC032,B1,4,1,4,2.6856557000,tap,lctrl
PFC,PFC032,B1,5,1,5,3.0001473003,stimulus,
PFC,PFC032,B1,5,1,5,3.4537566002,tap,lctrl
PFC,PFC032,B1,6,1,6,3.7501570000,stimulus,
PFC,PFC032,B1,6,1,6,4.2056168001,tap,rctrl
PFC,PFC032,B1,6,1,6,4.2855566000,tap,rctrl
PFC,PFC032,B1,7,1,7,4.5001695002,stimulus,
PFC,PFC032,B1,7,1,7,5.0536376000,tap,lctrl
PFC,PFC032,B1,8,1,8,5.2501773001,stimulus,
PFC,PFC032,B1,8,1,8,5.8215940003,tap,lctrl
PFC,PFC032,B1,9,1,9,6.0002003000,stimulus,
PFC,PFC032,B1,9,1,9,6.4776630001,tap,rctrl
PFC,PFC032,B1,10,1,10,6.7502181004,stimulus,
PFC,PFC032,B1,10,1,10,7.1816290002,tap,lctrl
PFC,PFC032,B1,11,1,11,7.5002366002,stimulus,
PFC,PFC032,B1,11,1,11,7.8857171000,tap,rctrl
PFC,PFC032,B1,12,1,12,8.2502521002,stimulus,
PFC,PFC032,B1,12,1,12,8.6856542001,tap,lctrl
PFC,PFC032,B1,13,1,13,9.0002725003,stimulus,
PFC,PFC032,B1,13,1,13,9.4376000003,tap,rctrl
PFC,PFC032,B1,14,1,14,9.7502824003,stimulus,
PFC,PFC032,B1,14,1,14,10.1736863004,tap,lctrl
PFC,PFC032,B1,15,1,15,10.5002935003,stimulus,
PFC,PFC032,B1,15,1,15,10.9736898001,tap,lctrl
PFC,PFC032,B1,16,1,16,11.2503093001,stimulus,
PFC,PFC032,B1,16,1,16,11.8536104001,tap,lctrl
PFC,PFC032,B1,17,1,17,12.0003170003,stimulus,
PFC,PFC032,B1,17,1,17,12.6216453002,tap,rctrl
PFC,PFC032,B1,18,1,18,12.7503263000,stimulus,
PFC,PFC032,B1,18,1,18,13.3416100000,tap,lctrl
PFC,PFC032,B1,19,1,19,13.5003426000,stimulus,
PFC,PFC032,B1,19,1,19,14.0455937004,tap,rctrl
PFC,PFC032,B1,20,1,20,14.2503579003,stimulus,
PFC,PFC032,B1,20,1,20,14.8457370000,tap,lctrl
PFC,PFC032,B1,21,1,21,15.0003697001,stimulus,
PFC,PFC032,B1,21,1,21,15.5496377000,tap,rctrl
PFC,PFC032,B1,22,1,22,15.7503883000,stimulus,
PFC,PFC032,B1,22,1,22,16.3656014004,tap,lctrl
PFC,PFC032,B1,23,1,23,16.5004057004,stimulus,
PFC,PFC032,B1,23,1,23,16.9896761002,tap,rctrl
PFC,PFC032,B1,24,1,24,17.2504221001,stimulus,
PFC,PFC032,B1,24,1,24,17.8055951004,tap,rctrl
PFC,PFC032,B1,25,1,25,18.0004372001,stimulus,
PFC,PFC032,B1,25,1,25,18.5416303002,tap,rctrl
PFC,PFC032,B1,26,1,26,18.7504558000,stimulus,
PFC,PFC032,B1,26,1,26,19.2936428003,tap,rctrl
PFC,PFC032,B1,27,1,27,19.5004651002,stimulus,
PFC,PFC032,B1,27,1,27,20.1096311002,tap,rctrl
PFC,PFC032,B1,28,1,28,20.2504823003,stimulus,
PFC,PFC032,B1,28,1,28,20.8296111003,tap,lctrl
PFC,PFC032,B1,29,1,29,21.0004996001,stimulus,
PFC,PFC032,B1,29,1,29,21.5177049004,tap,lctrl
PFC,PFC032,B1,30,1,30,21.7505136002,stimulus,
PFC,PFC032,B1,30,1,30,22.3176498003,tap,lctrl
PFC,PFC032,B1,31,1,31,22.5005305000,stimulus,
PFC,PFC032,B1,31,1,31,23.0215747003,tap,lctrl
PFC,PFC032,B1,32,1,32,23.2505466002,stimulus,
PFC,PFC032,B1,32,1,32,23.7576082000,tap,lctrl
PFC,PFC032,B1,33,1,33,24.0005579004,stimulus,
PFC,PFC032,B1,33,1,33,24.5576314004,tap,lctrl
PFC,PFC032,B1,34,1,34,24.7505690004,stimulus,
PFC,PFC032,B1,34,1,34,25.3256164002,tap,lctrl
PFC,PFC032,B1,35,1,35,25.5005793003,stimulus,
PFC,PFC032,B1,35,1,35,26.0936593004,tap,lctrl
PFC,PFC032,B1,36,1,36,26.2505986001,stimulus,
PFC,PFC032,B1,36,1,36,26.8617232004,tap,lctrl
PFC,PFC032,B1,37,1,37,27.0006022002,stimulus,
PFC,PFC032,B1,37,1,37,27.6296308003,tap,lctrl
PFC,PFC032,B1,38,1,38,27.7506175004,stimulus,
PFC,PFC032,B1,38,1,38,28.3496175003,tap,lctrl
PFC,PFC032,B1,39,1,39,28.5006345003,stimulus,
PFC,PFC032,B1,39,1,39,29.0856961003,tap,lctrl
PFC,PFC032,B1,40,1,40,29.2506411001,stimulus,
PFC,PFC032,B1,40,1,40,29.8376729004,tap,lctrl
PFC,PFC032,B1,41,1,41,30.0006643003,stimulus,
PFC,PFC032,B1,41,1,41,30.5736305001,tap,lctrl
PFC,PFC032,B1,42,1,42,30.7506767004,stimulus,
PFC,PFC032,B1,42,1,42,31.3896454000,tap,lctrl
PFC,PFC032,B1,43,1,43,31.5006924002,stimulus,
PFC,PFC032,B1,43,1,43,32.1255992004,tap,lctrl
PFC,PFC032,B1,44,1,44,32.2507008002,stimulus,
PFC,PFC032,B1,44,1,44,32.8455654001,tap,rctrl
