# {'Language': 'Norwegian', 'Region': 'PFC', 'Participant': 'PFC034', 'Session': 'S2', 'Block': 'B0', 'date': '2022_Nov_07_1730', 'expName': 'FTRSGT_rTMS', 'frameRate': 59.958185080647695}
region,subj,block,trial,proberound,probetrial,time,stimulus,response
PFC,PFC034,B0,1,1,1,0.0001623002,stimulus,
PFC,PFC034,B0,2,1,2,0.7501108004,stimulus,
PFC,PFC034,B0,2,1,2,0.8514288003,tap,lctrl
PFC,PFC034,B0,3,1,3,1.5001163003,stimulus,
PFC,PFC034,B0,3,1,3,1.5393537004,tap,rctrl
PFC,PFC034,B0,4,1,4,2.2501384001,stimulus,
PFC,PFC034,B0,4,1,4,2.2753579002,tap,lctrl
PFC,PFC034,B0,5,1,5,3.0001529003,stimulus,
PFC,PFC034,B0,5,1,5,3.0274669002,tap,rctrl
PFC,PFC034,B0,6,1,6,3.7501641004,stimulus,
PFC,PFC034,B0,6,1,6,3.7794425003,tap,rctrl
PFC,PFC034,B0,6,1,6,4.4993604003,tap,rctrl
PFC,PFC034,B0,7,1,7,4.5001707003,stimulus,
PFC,PFC034,B0,8,1,8,5.2501943004,stimulus,
PFC,PFC034,B0,8,1,8,5.2673739004,tap,lctrl
PFC,PFC034,B0,9,1,9,6.0002058004,stimulus,
PFC,PFC034,B0,9,1,9,6.0033381004,tap,rctrl
PFC,PFC034,B0,10,1,10,6.7502222001,stimulus,
PFC,PFC034,B0,10,1,10,6.7714172001,tap,lctrl
PFC,PFC034,B0,10,1,10,7.4913313002,tap,lctrl
PFC,PFC034,B0,11,1,11,7.5002202000,stimulus,
PFC,PFC034,B0,11,1,11,8.2113956003,tap,lctrl
PFC,PFC034,B0,12,1,12,8.2502397001,stimulus,
PFC,PFC034,B0,12,1,12,8.9953294001,tap,rctrl
PFC,PFC034,B0,13,1,13,9.0002483004,stimulus,
PFC,PFC034,B0,14,1,14,9.7502738000,stimulus,
PFC,PFC034,B0,14,1,14,9.7793368003,tap,lctrl
PFC,PFC034,B0,14,1,14,10.4993224004,tap,rctrl
PFC,PFC034,B0,15,1,15,10.5002788003,stimulus,
PFC,PFC034,B0,15,1,15,11.2353516002,tap,rctrl
PFC,PFC034,B0,16,1,16,11.2502910001,stimulus,
PFC,PFC034,B0,16,1,16,11.9713805001,tap,lctrl
PFC,PFC034,B0,17,1,17,12.0003166003,stimulus,
PFC,PFC034,B0,17,1,17,12.7395038004,tap,lctrl
PFC,PFC034,B0,18,1,18,12.7503406000,stimulus,
PFC,PFC034,B0,18,1,18,13.4434210001,tap,lctrl
PFC,PFC034,B0,19,1,19,13.5003534001,stimulus,
PFC,PFC034,B0,19,1,19,14.2114402005,tap,lctrl
PFC,PFC034,B0,20,1,20,14.2503689001,stimulus,
PFC,PFC034,B0,20,1,20,14.9793654000,tap,rctrl
PFC,PFC034,B0,21,1,21,15.0003729002,stimulus,
PFC,PFC034,B0,21,1,21,15.7314075003,tap,rctrl
PFC,PFC034,B0,22,1,22,15.7503909003,stimulus,
PFC,PFC034,B0,22,1,22,16.4353597001,tap,lctrl
PFC,PFC034,B0,23,1,23,16.5004167003,stimulus,
PFC,PFC034,B0,24,1,24,17.2504411004,stimulus,
PFC,PFC034,B0,24,1,24,17.2673620004,tap,rctrl
PFC,PFC034,B0,24,1,24,17.9873514003,tap,rctrl
PFC,PFC034,B0,25,1,25,18.0004391004,stimulus,
PFC,PFC034,B0,26,1,26,18.7504688003,stimulus,
PFC,PFC034,B0,26,1,26,18.7553640003,tap,rctrl
PFC,PFC034,B0,27,1,27,19.5004891003,stimulus,
PFC,PFC034,B0,27,1,27,19.5393077000,tap,lctrl
PFC,PFC034,B0,28,1,28,20.2505018003,stimulus,
PFC,PFC034,B0,28,1,28,20.2593030003,tap,rctrl
PFC,PFC034,B0,29,1,29,21.0005299002,stimulus,
PFC,PFC034,B0,29,1,29,21.0274130004,tap,lctrl
PFC,PFC034,B0,30,1,30,21.7505512000,stimulus,
PFC,PFC034,B0,30,1,30,21.7793042003,tap,rctrl
PFC,PFC034,B0,30,1,30,22.4994347002,tap,rctrl
PFC,PFC034,B0,31,1,31,22.5005565002,stimulus,
PFC,PFC034,B0,32,1,32,23.2505853004,stimulus,
PFC,PFC034,B0,32,1,32,23.2513669003,tap,rctrl
PFC,PFC034,B0,33,1,33,24.0006013000,stimulus,
PFC,PFC034,B0,33,1,33,24.0033178004,tap,lctrl
PFC,PFC034,B0,33,1,33,24.6594040003,tap,lctrl
PFC,PFC034,B0,34,1,34,24.7506132000,stimulus,
PFC,PFC034,B0,34,1,34,25.4913420002,tap,rctrl
PFC,PFC034,B0,35,1,35,25.5006220001,stimulus,
PFC,PFC034,B0,36,1,36,26.2506587002,stimulus,
PFC,PFC034,B0,36,1,36,26.2593664001,tap,rctrl
PFC,PFC034,B0,37,1,37,27.0006613000,stimulus,
PFC,PFC034,B0,37,1,37,27.0433137002,tap,lctrl
PFC,PFC034,B0,38,1,38,27.7506803004,stimulus,
PFC,PFC034,B0,38,1,38,27.7794456002,tap,lctrl
PFC,PFC034,B0,39,1,39,28.5006951001,stimulus,
PFC,PFC034,B0,39,1,39,28.5313570001,tap,lctrl
PFC,PFC034,B0,40,1,40,29.2507117004,stimulus,
PFC,PFC034,B0,40,1,40,29.2833142001,tap,rctrl
PFC,PFC034,B0,41,1,41,30.0007240004,stimulus,
PFC,PFC034,B0,41,1,41,30.0512959003,tap,rctrl
PFC,PFC034,B0,42,1,42,30.7507347004,stimulus,
PFC,PFC034,B0,42,1,42,30.8193000001,tap,lctrl
PFC,PFC034,B0,43,1,43,31.5007503000,stimulus,
