# {'Language': 'Norwegian', 'Region': 'PFC', 'Participant': 'PFC035', 'Session': 'S1', 'Block': 'B3', 'date': '2022_Oct_31_1627', 'expName': 'FTRSGT_rTMS', 'frameRate': 59.94697091051016}
region,subj,block,trial,proberound,probetrial,time,stimulus,response
PFC,PFC035,B3,1,1,1,0.0001134998,stimulus,
PFC,PFC035,B3,1,1,1,0.4517867002,tap,lctrl
PFC,PFC035,B3,2,1,2,0.7501013000,stimulus,
PFC,PFC035,B3,2,1,2,1.2357937000,tap,lctrl
PFC,PFC035,B3,3,1,3,1.5001067999,stimulus,
PFC,PFC035,B3,3,1,3,2.0837363000,tap,rctrl
PFC,PFC035,B3,4,1,4,2.2501158002,stimulus,
PFC,PFC035,B3,4,1,4,2.8517336999,tap,rctrl
PFC,PFC035,B3,5,1,5,3.0001257998,stimulus,
PFC,PFC035,B3,5,1,5,3.5878284997,tap,rctrl
PFC,PFC035,B3,6,1,6,3.7501618001,stimulus,
PFC,PFC035,B3,6,1,6,4.1958379000,tap,lctrl
PFC,PFC035,B3,7,1,7,4.5001681000,stimulus,
PFC,PFC035,B3,7,1,7,5.0597856999,tap,rctrl
PFC,PFC035,B3,8,1,8,5.2501844000,stimulus,
PFC,PFC035,B3,8,1,8,5.6837467998,tap,rctrl
PFC,PFC035,B3,9,1,9,6.0002053999,stimulus,
PFC,PFC035,B3,9,1,9,6.4837396001,tap,rctrl
PFC,PFC035,B3,10,1,10,6.7502176999,stimulus,
PFC,PFC035,B3,10,1,10,7.0277713002,tap,rctrl
PFC,PFC035,B3,11,1,11,7.5002266001,stimulus,
PFC,PFC035,B3,11,1,11,7.9238685998,tap,rctrl
PFC,PFC035,B3,12,1,12,8.2502396000,stimulus,
PFC,PFC035,B3,13,1,13,9.0002485001,stimulus,
PFC,PFC035,B3,13,1,13,9.6517670001,tap,lctrl
PFC,PFC035,B3,14,1,14,9.7502621999,stimulus,
PFC,PFC035,B3,14,1,14,10.3718034998,tap,lctrl
PFC,PFC035,B3,15,1,15,10.5002758000,stimulus,
PFC,PFC035,B3,15,1,15,11.0917396001,tap,rctrl
PFC,PFC035,B3,16,1,16,11.2503069998,stimulus,
PFC,PFC035,B3,16,1,16,11.8757410999,tap,rctrl
PFC,PFC035,B3,17,1,17,12.0003153998,stimulus,
PFC,PFC035,B3,17,1,17,12.6117815999,tap,rctrl
PFC,PFC035,B3,18,1,18,12.7503323001,stimulus,
PFC,PFC035,B3,18,1,18,13.2997424998,tap,rctrl
PFC,PFC035,B3,19,1,19,13.5003419002,stimulus,
PFC,PFC035,B3,19,1,19,14.0518327998,tap,rctrl
PFC,PFC035,B3,20,1,20,14.2503775000,stimulus,
PFC,PFC035,B3,20,1,20,14.6918671001,tap,lctrl
PFC,PFC035,B3,21,1,21,15.0003805999,stimulus,
PFC,PFC035,B3,21,1,21,15.6837907000,tap,lctrl
PFC,PFC035,B3,22,1,22,15.7503994000,stimulus,
PFC,PFC035,B3,22,1,22,16.3237711000,tap,lctrl
PFC,PFC035,B3,23,1,23,16.5004073000,stimulus,
PFC,PFC035,B3,23,1,23,17.0757602002,tap,rctrl
PFC,PFC035,B3,24,1,24,17.2504169000,stimulus,
PFC,PFC035,B3,24,1,24,17.8277387000,tap,lctrl
PFC,PFC035,B3,25,1,25,18.0004417999,stimulus,
PFC,PFC035,B3,25,1,25,18.5477756001,tap,lctrl
PFC,PFC035,B3,26,1,26,18.7504499000,stimulus,
PFC,PFC035,B3,26,1,26,19.3318604999,tap,rctrl
PFC,PFC035,B3,27,1,27,19.5004627998,stimulus,
PFC,PFC035,B3,27,1,27,20.0198080000,tap,rctrl
PFC,PFC035,B3,28,1,28,20.2504770001,stimulus,
PFC,PFC035,B3,28,1,28,20.8037811001,tap,lctrl
PFC,PFC035,B3,29,1,29,21.0004917001,stimulus,
PFC,PFC035,B3,29,1,29,21.5557380999,tap,lctrl
PFC,PFC035,B3,30,1,30,21.7505000001,stimulus,
PFC,PFC035,B3,30,1,30,22.3077580999,tap,lctrl
PFC,PFC035,B3,31,1,31,22.5005097999,stimulus,
PFC,PFC035,B3,31,1,31,23.0277443998,tap,lctrl
PFC,PFC035,B3,32,1,32,23.2505208999,stimulus,
PFC,PFC035,B3,32,1,32,23.7637521001,tap,rctrl
PFC,PFC035,B3,33,1,33,24.0005387999,stimulus,
PFC,PFC035,B3,33,1,33,24.4997683000,tap,rctrl
PFC,PFC035,B3,34,1,34,24.7505656998,stimulus,
PFC,PFC035,B3,34,1,34,25.2517665001,tap,lctrl
PFC,PFC035,B3,35,1,35,25.5005723001,stimulus,
PFC,PFC035,B3,35,1,35,25.9398576999,tap,lctrl
PFC,PFC035,B3,36,1,36,26.2505950001,stimulus,
PFC,PFC035,B3,36,1,36,26.6917661000,tap,lctrl
PFC,PFC035,B3,37,1,37,27.0006137998,stimulus,
PFC,PFC035,B3,37,1,37,27.3958025002,tap,lctrl
PFC,PFC035,B3,38,1,38,27.7506309999,stimulus,
PFC,PFC035,B3,38,1,38,28.1957176002,tap,lctrl
PFC,PFC035,B3,39,1,39,28.5006467002,stimulus,
PFC,PFC035,B3,39,1,39,28.9478040999,tap,lctrl
PFC,PFC035,B3,40,1,40,29.2506618001,stimulus,
PFC,PFC035,B3,40,1,40,29.7317518000,tap,lctrl
PFC,PFC035,B3,41,1,41,30.0006784000,stimulus,
PFC,PFC035,B3,41,1,41,30.4837369001,tap,lctrl
PFC,PFC035,B3,42,1,42,30.7506903000,stimulus,
PFC,PFC035,B3,42,1,42,31.2837716001,tap,rctrl
PFC,PFC035,B3,43,1,43,31.5007078000,stimulus,
PFC,PFC035,B3,43,1,43,31.8758135000,tap,lctrl
PFC,PFC035,B3,44,1,44,32.2507269001,stimulus,
PFC,PFC035,B3,44,1,44,32.6917081000,tap,lctrl
PFC,PFC035,B3,45,1,45,33.0007400000,stimulus,
PFC,PFC035,B3,45,1,45,33.4277168000,tap,lctrl
PFC,PFC035,B3,46,1,46,33.7507596998,stimulus,
PFC,PFC035,B3,46,1,46,34.1477330001,tap,lctrl
PFC,PFC035,B3,47,1,47,34.5007675001,stimulus,
PFC,PFC035,B3,47,1,47,34.8518766998,tap,lctrl
PFC,PFC035,B3,48,1,48,35.2507802001,stimulus,
PFC,PFC035,B3,49,1,49,36.0007902998,stimulus,
PFC,PFC035,B3,49,1,49,36.5797322998,tap,lctrl
PFC,PFC035,B3,50,1,50,36.7508006999,stimulus,
PFC,PFC035,B3,50,1,50,37.2037009997,tap,rctrl
PFC,PFC035,B3,51,1,51,37.5008192998,stimulus,
PFC,PFC035,B3,51,1,51,37.9077407001,tap,lctrl
PFC,PFC035,B3,52,1,52,38.2508370001,stimulus,
PFC,PFC035,B3,52,1,52,38.5797723997,tap,lctrl
PFC,PFC035,B3,53,1,53,39.0008483999,stimulus,
PFC,PFC035,B3,53,1,53,39.2997345999,tap,lctrl
PFC,PFC035,B3,54,1,54,39.7508653002,stimulus,
PFC,PFC035,B3,54,1,54,40.0837896001,tap,lctrl
PFC,PFC035,B3,55,1,55,40.5008810000,stimulus,
PFC,PFC035,B3,55,1,55,41.0277589001,tap,lctrl
PFC,PFC035,B3,56,1,56,41.2508975998,stimulus,
PFC,PFC035,B3,56,1,56,41.8917948999,tap,rctrl
PFC,PFC035,B3,57,1,57,42.0009078998,stimulus,
PFC,PFC035,B3,57,1,57,42.5797489001,tap,rctrl
PFC,PFC035,B3,58,1,58,42.7509212000,stimulus,
PFC,PFC035,B3,58,1,58,43.2357326997,tap,lctrl
PFC,PFC035,B3,59,1,59,43.5009384998,stimulus,
PFC,PFC035,B3,59,1,59,43.9718316002,tap,lctrl
