# {'Language': 'English', 'Region': 'PFC', 'Participant': 'PFC037', 'Session': 'S2', 'Block': 'B2', 'date': '2023_Jan_20_1450', 'expName': 'FTRSGT_rTMS', 'frameRate': 59.94262268006398}
region,subj,block,trial,proberound,probetrial,time,stimulus,response
PFC,PFC037,B2,1,1,1,0.0001337007,stimulus,
PFC,PFC037,B2,1,1,1,0.0347441006,tap,rctrl
PFC,PFC037,B2,2,1,2,0.7501006005,stimulus,
PFC,PFC037,B2,2,1,2,0.8667224003,tap,rctrl
PFC,PFC037,B2,2,1,2,1.4747899007,tap,lctrl
PFC,PFC037,B2,3,1,3,1.5001018001,stimulus,
PFC,PFC037,B2,3,1,3,2.1627293006,tap,rctrl
PFC,PFC037,B2,4,1,4,2.2501265006,stimulus,
PFC,PFC037,B2,4,1,4,2.8187343003,tap,rctrl
PFC,PFC037,B2,5,1,5,3.0001396006,stimulus,
PFC,PFC037,B2,5,1,5,3.6348115001,tap,lctrl
PFC,PFC037,B2,6,1,6,3.7501571001,stimulus,
PFC,PFC037,B2,6,1,6,4.3227712009,tap,rctrl
PFC,PFC037,B2,7,1,7,4.5001751008,stimulus,
PFC,PFC037,B2,7,1,7,5.1228474006,tap,rctrl
PFC,PFC037,B2,8,1,8,5.2501798002,stimulus,
PFC,PFC037,B2,8,1,8,5.8107382003,tap,lctrl
PFC,PFC037,B2,9,1,9,6.0001965007,stimulus,
PFC,PFC037,B2,9,1,9,6.6427434003,tap,rctrl
PFC,PFC037,B2,10,1,10,6.7502080007,stimulus,
PFC,PFC037,B2,10,1,10,7.3947232002,tap,rctrl
PFC,PFC037,B2,11,1,11,7.5002228003,stimulus,
PFC,PFC037,B2,11,1,11,8.0027327007,tap,rctrl
PFC,PFC037,B2,12,1,12,8.2502387008,stimulus,
PFC,PFC037,B2,12,1,12,8.7707661008,tap,lctrl
PFC,PFC037,B2,13,1,13,9.0002559004,stimulus,
PFC,PFC037,B2,13,1,13,9.5547245005,tap,lctrl
PFC,PFC037,B2,14,1,14,9.7502682004,stimulus,
PFC,PFC037,B2,14,1,14,10.3547224002,tap,lctrl
PFC,PFC037,B2,15,1,15,10.5002991008,stimulus,
PFC,PFC037,B2,15,1,15,11.1227314007,tap,rctrl
PFC,PFC037,B2,16,1,16,11.2502935007,stimulus,
PFC,PFC037,B2,16,1,16,11.8907306008,tap,rctrl
PFC,PFC037,B2,17,1,17,12.0003098007,stimulus,
PFC,PFC037,B2,17,1,17,12.6427524006,tap,lctrl
PFC,PFC037,B2,18,1,18,12.7503235005,stimulus,
PFC,PFC037,B2,18,1,18,13.3467812007,tap,lctrl
PFC,PFC037,B2,19,1,19,13.5003370000,stimulus,
PFC,PFC037,B2,19,1,19,14.0987252006,tap,rctrl
PFC,PFC037,B2,20,1,20,14.2503540004,stimulus,
PFC,PFC037,B2,20,1,20,14.8347680001,tap,rctrl
PFC,PFC037,B2,21,1,21,15.0003682002,stimulus,
PFC,PFC037,B2,21,1,21,15.5867543006,tap,rctrl
PFC,PFC037,B2,22,1,22,15.7503806008,stimulus,
PFC,PFC037,B2,22,1,22,16.3387947008,tap,lctrl
PFC,PFC037,B2,23,1,23,16.5003923001,stimulus,
PFC,PFC037,B2,23,1,23,17.1387192002,tap,lctrl
PFC,PFC037,B2,24,1,24,17.2504099002,stimulus,
PFC,PFC037,B2,24,1,24,17.8587311003,tap,lctrl
PFC,PFC037,B2,25,1,25,18.0004245006,stimulus,
PFC,PFC037,B2,25,1,25,18.6107118009,tap,rctrl
PFC,PFC037,B2,26,1,26,18.7504402008,stimulus,
PFC,PFC037,B2,26,1,26,19.3627598006,tap,rctrl
PFC,PFC037,B2,27,1,27,19.5004450008,stimulus,
PFC,PFC037,B2,27,1,27,20.1787844002,tap,rctrl
PFC,PFC037,B2,28,1,28,20.2504718006,stimulus,
PFC,PFC037,B2,28,1,28,20.8987432001,tap,rctrl
PFC,PFC037,B2,29,1,29,21.0004741000,stimulus,
PFC,PFC037,B2,29,1,29,21.6827448001,tap,lctrl
PFC,PFC037,B2,30,1,30,21.7504797000,stimulus,
PFC,PFC037,B2,30,1,30,22.4347232003,tap,lctrl
PFC,PFC037,B2,31,1,31,22.5005028006,stimulus,
PFC,PFC037,B2,31,1,31,23.2347356007,tap,lctrl
PFC,PFC037,B2,32,1,32,23.2505105007,stimulus,
PFC,PFC037,B2,32,1,32,23.9387418004,tap,rctrl
PFC,PFC037,B2,33,1,33,24.0005272003,stimulus,
PFC,PFC037,B2,33,1,33,24.5947188009,tap,rctrl
PFC,PFC037,B2,34,1,34,24.7505478002,stimulus,
PFC,PFC037,B2,34,1,34,25.3147627003,tap,rctrl
PFC,PFC037,B2,35,1,35,25.5005684001,stimulus,
PFC,PFC037,B2,35,1,35,26.0988174006,tap,rctrl
PFC,PFC037,B2,36,1,36,26.2505829008,stimulus,
PFC,PFC037,B2,36,1,36,26.8507348001,tap,lctrl
PFC,PFC037,B2,37,1,37,27.0005890001,stimulus,
PFC,PFC037,B2,37,1,37,27.6027131006,tap,lctrl
PFC,PFC037,B2,38,1,38,27.7506061001,stimulus,
PFC,PFC037,B2,38,1,38,28.2748198006,tap,lctrl
PFC,PFC037,B2,39,1,39,28.5006246008,stimulus,
PFC,PFC037,B2,39,1,39,29.1547732009,tap,lctrl
PFC,PFC037,B2,40,1,40,29.2506332006,stimulus,
PFC,PFC037,B2,40,1,40,29.9707363006,tap,rctrl
PFC,PFC037,B2,41,1,41,30.0006363001,stimulus,
PFC,PFC037,B2,41,1,41,30.6747393003,tap,rctrl
PFC,PFC037,B2,42,1,42,30.7506485004,stimulus,
PFC,PFC037,B2,42,1,42,31.4267640002,tap,rctrl
PFC,PFC037,B2,43,1,43,31.5006641001,stimulus,
PFC,PFC037,B2,43,1,43,32.1627255008,tap,rctrl
PFC,PFC037,B2,44,1,44,32.2506832005,stimulus,
PFC,PFC037,B2,44,1,44,32.8507689005,tap,rctrl
PFC,PFC037,B2,45,1,45,33.0007056007,stimulus,
PFC,PFC037,B2,45,1,45,33.6187821003,tap,rctrl
PFC,PFC037,B2,46,1,46,33.7507147007,stimulus,
PFC,PFC037,B2,46,1,46,34.2747207005,tap,rctrl
PFC,PFC037,B2,47,1,47,34.5007357001,stimulus,
PFC,PFC037,B2,47,1,47,35.0267204009,tap,rctrl
PFC,PFC037,B2,48,1,48,35.2508351002,stimulus,
PFC,PFC037,B2,48,1,48,35.8107433002,tap,lctrl
PFC,PFC037,B2,49,1,49,36.0008525001,stimulus,
PFC,PFC037,B2,49,1,49,36.5627401005,tap,lctrl
PFC,PFC037,B2,50,1,50,36.7508690003,stimulus,
PFC,PFC037,B2,50,1,50,37.3467790000,tap,lctrl
PFC,PFC037,B2,51,1,51,37.5008867001,stimulus,
PFC,PFC037,B2,51,1,51,38.1307743005,tap,rctrl
PFC,PFC037,B2,52,1,52,38.2508986006,stimulus,
PFC,PFC037,B2,52,1,52,38.7707501007,tap,rctrl
PFC,PFC037,B2,53,1,53,39.0009105001,stimulus,
PFC,PFC037,B2,53,1,53,39.4747254001,tap,rctrl
PFC,PFC037,B2,54,1,54,39.7509252001,stimulus,
PFC,PFC037,B2,54,1,54,40.2267599003,tap,rctrl
PFC,PFC037,B2,55,1,55,40.5009420002,stimulus,
PFC,PFC037,B2,55,1,55,40.9946952006,tap,rctrl
PFC,PFC037,B2,56,1,56,41.2509484002,stimulus,
PFC,PFC037,B2,56,1,56,41.8107617004,tap,lctrl
PFC,PFC037,B2,57,1,57,42.0009677000,stimulus,
PFC,PFC037,B2,57,1,57,42.5307893008,tap,lctrl
PFC,PFC037,B2,58,1,58,42.7509849006,stimulus,
PFC,PFC037,B2,58,1,58,43.2827298008,tap,lctrl
PFC,PFC037,B2,59,1,59,43.5009996006,stimulus,
PFC,PFC037,B2,59,1,59,44.0667268001,tap,lctrl
PFC,PFC037,B2,60,1,60,44.2510209009,stimulus,
